#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2184283.53678,USD,4338696.24823
CUST_S,,,,,,-601807.335975,USD,4144424.09101
CUST_P,,,,,,701757.358473,USD,2376256.68439
CUST_Q,,,,,,-1972210.32756,USD,859139.739106
CUST_V,,,,,,2897349.51748,USD,5713675.63729
CUST_W,,,,,,264671.036295,USD,1742349.88684
CUST_T,,,,,,-1885247.36378,USD,2396498.80683
CUST_U,,,,,,-1444111.14101,USD,1021965.5362
CUST_Z,,,,,,4526934.22881,USD,5131759.53269
CUST_X,,,,,,2709463.10106,USD,3401904.52087
CUST_Y,,,,,,244591.87839,USD,1656478.69376
CUST_B,,,,,,1015227.69798,USD,2210805.2008
CUST_C,,,,,,-251826.505539,USD,1726319.76557
CUST_A,,,,,,-179046.769258,USD,2734347.84048
CUST_F,,,,,,182378.630519,USD,2435899.46304
CUST_G,,,,,,-864143.064385,USD,3117724.9581
CUST_D,,,,,,-858253.702638,USD,2247800.6941
CUST_E,,,,,,3476827.47334,USD,5675112.90949
CUST_J,,,,,,-226347.056871,USD,2087726.61299
CUST_K,,,,,,391778.960191,USD,1625828.25239
CUST_H,,,,,,1767046.10884,USD,4137630.03371
CUST_I,,,,,,2278373.67462,USD,3091439.71885
CUST_N,,,,,,-1469819.96029,USD,1347838.8144
CUST_O,,,,,,2451669.21134,USD,3502154.14973
CUST_L,,,,,,-3471332.6718,USD,1333524.08263
CUST_M,,,,,,545124.716115,USD,2028153.84851
