#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-129650.025659,USD,977760.293976
CSA_41,,,,,,2532904.80493,USD,2537560.87986
CSA_42,,,,,,64827.420597,USD,108183.533803
CSA_43,,,,,,-101419.020635,USD,39375.008842
CSA_44,,,,,,144818.545053,USD,161709.599861
CSA_45,,,,,,-362758.075318,USD,244610.696484
CSA_46,,,,,,594140.363383,USD,744036.203123
CSA_47,,,,,,658072.287086,USD,963864.911856
CSA_48,,,,,,-972653.360615,USD,160984.341367
CSA_49,,,,,,-287756.423258,USD,218841.156643
CSA_59,,,,,,-430394.507528,USD,194.555028
CSA_58,,,,,,-706009.112809,USD,81611.199273
CSA_57,,,,,,-2729334.89057,USD,79092.292739
CSA_56,,,,,,884946.629747,USD,884946.629747
CSA_55,,,,,,702678.414363,USD,702678.414363
CSA_54,,,,,,205650.462422,USD,465162.0308
CSA_53,,,,,,133414.256978,USD,146831.810829
CSA_52,,,,,,211956.213704,USD,211956.213704
CSA_51,,,,,,-861920.387276,USD,99199.782694
CSA_50,,,,,,-218149.923467,USD,0.0
CSA_28,,,,,,541627.738059,USD,748225.86242
CSA_29,,,,,,-791727.492493,USD,186483.943326
CSA_22,,,,,,1393579.17801,USD,1454513.2997
CSA_23,,,,,,2058399.36048,USD,2058399.36048
CSA_20,,,,,,-512609.398885,USD,0.0
CSA_21,,,,,,-184397.122879,USD,60803.038598
CSA_26,,,,,,1354813.84163,USD,1382681.41139
CSA_27,,,,,,-504597.640878,USD,83214.831602
CSA_24,,,,,,-819464.022416,USD,437363.420145
CSA_25,,,,,,1028710.08015,USD,1664033.79056
CSA_39,,,,,,-614378.121232,USD,1747.766701
CSA_38,,,,,,2176996.96203,USD,2480142.25317
CSA_31,,,,,,163836.318521,USD,188011.622225
CSA_30,,,,,,-417737.8158,USD,35293.414311
CSA_33,,,,,,-904699.843398,USD,687862.865774
CSA_32,,,,,,-1163034.60428,USD,886329.318056
CSA_35,,,,,,691668.108704,USD,976750.671291
CSA_34,,,,,,348086.956073,USD,378770.48075
CSA_37,,,,,,570300.117386,USD,651872.511004
CSA_36,,,,,,-236222.823685,USD,26107.208856
CSA_119,,,,,,917362.02227,USD,931686.32784
CSA_118,,,,,,1158181.30614,USD,1161492.13176
CSA_113,,,,,,236034.614293,USD,236034.614293
CSA_112,,,,,,96680.505311,USD,240378.032501
CSA_111,,,,,,248297.301428,USD,580790.47212
CSA_110,,,,,,1696963.02182,USD,1696963.02182
CSA_117,,,,,,364868.475871,USD,408984.868236
CSA_116,,,,,,785554.360109,USD,856742.788298
CSA_115,,,,,,-671376.681106,USD,327466.694404
CSA_114,,,,,,355035.296369,USD,357680.073521
CSA_108,,,,,,-379311.845404,USD,76207.673306
CSA_109,,,,,,1081109.40484,USD,1265862.05666
CSA_100,,,,,,-811931.431044,USD,154539.736781
CSA_101,,,,,,-289597.6915,USD,2588.172866
CSA_102,,,,,,-323821.483791,USD,6434.016561
CSA_103,,,,,,686727.498983,USD,711370.266554
CSA_104,,,,,,88279.217862,USD,201454.983112
CSA_105,,,,,,-1605698.68256,USD,100118.097106
CSA_106,,,,,,-550097.153801,USD,611002.200184
CSA_107,,,,,,1048686.09003,USD,2063640.68531
CSA_13,,,,,,103292.356613,USD,200240.107758
CSA_12,,,,,,513702.205456,USD,516730.068268
CSA_11,,,,,,-620603.632648,USD,274919.451015
CSA_10,,,,,,-304616.267438,USD,255527.953584
CSA_17,,,,,,1387105.08422,USD,2074013.58732
CSA_16,,,,,,-848551.073655,USD,32644.547497
CSA_15,,,,,,-444260.308886,USD,1633.790411
CSA_14,,,,,,196042.873926,USD,732796.348114
CSA_19,,,,,,-332773.24238,USD,100907.467766
CSA_18,,,,,,-551425.071934,USD,40235.091517
CSA_130,,,,,,986789.068312,USD,1176416.63642
CSA_88,,,,,,809062.550608,USD,919052.758536
CSA_89,,,,,,-3086.799358,USD,1126271.07013
CSA_84,,,,,,-42446.237207,USD,228451.346827
CSA_85,,,,,,-1078737.34042,USD,0.0
CSA_86,,,,,,-360526.591349,USD,372561.684129
CSA_87,,,,,,876671.991424,USD,1056871.14455
CSA_80,,,,,,-183949.184353,USD,0.0
CSA_81,,,,,,-960474.264454,USD,300938.330452
CSA_82,,,,,,263477.528413,USD,317431.445744
CSA_83,,,,,,-154030.013896,USD,12318.616083
CSA_66,,,,,,265881.096906,USD,574136.754876
CSA_67,,,,,,-247399.96661,USD,0.0
CSA_64,,,,,,-513012.243933,USD,84788.959628
CSA_65,,,,,,212867.025222,USD,234918.532072
CSA_62,,,,,,-232214.29124,USD,132046.920259
CSA_63,,,,,,1256101.14883,USD,1523856.33959
CSA_60,,,,,,-490540.790639,USD,287679.405843
CSA_61,,,,,,-178616.922766,USD,52543.096968
CSA_68,,,,,,-228124.838525,USD,224919.939558
CSA_69,,,,,,33716.455934,USD,467956.780235
CSA_122,,,,,,-41020.284598,USD,130331.209788
CSA_123,,,,,,-32774.463248,USD,29871.942019
CSA_120,,,,,,-516503.063332,USD,42998.40474
CSA_121,,,,,,958935.399648,USD,974307.954918
CSA_126,,,,,,217005.66917,USD,400952.569307
CSA_127,,,,,,1177955.58047,USD,1177955.58047
CSA_124,,,,,,-158348.231799,USD,15325.357423
CSA_125,,,,,,-482200.541613,USD,506642.229609
CSA_128,,,,,,1826221.38217,USD,1833955.2438
CSA_129,,,,,,318962.528695,USD,542479.502695
CSA_99,,,,,,-1858020.26596,USD,13185.975296
CSA_98,,,,,,-23410.680597,USD,540182.342112
CSA_93,,,,,,-14599.300396,USD,569860.105869
CSA_92,,,,,,79885.050724,USD,525155.318672
CSA_91,,,,,,502744.129161,USD,1129108.68134
CSA_90,,,,,,862162.385453,USD,863939.590891
CSA_97,,,,,,-672786.388797,USD,207675.704434
CSA_96,,,,,,1480901.40262,USD,1480915.0482
CSA_95,,,,,,736214.003806,USD,1323908.78146
CSA_94,,,,,,-1906051.21927,USD,596391.203659
CSA_75,,,,,,1069319.48111,USD,1287445.83705
CSA_74,,,,,,817866.192182,USD,888470.783839
CSA_77,,,,,,-80995.334464,USD,159905.349647
CSA_76,,,,,,-375288.24046,USD,346266.300541
CSA_71,,,,,,-574841.998312,USD,27786.16189
CSA_70,,,,,,-1293892.708,USD,80825.339728
CSA_73,,,,,,1087719.65409,USD,1101078.58208
CSA_72,,,,,,51605.882269,USD,197372.784875
CSA_79,,,,,,1397232.94256,USD,1854416.9869
CSA_78,,,,,,-55242.824807,USD,15668.047308
CSA_3,,,,,,326085.019432,USD,681224.367259
CSA_2,,,,,,1210726.60135,USD,1286679.93893
CSA_1,,,,,,-1444723.75899,USD,306192.015904
CSA_7,,,,,,276712.067492,USD,425366.741724
