#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-196288.121362,USD,455063.150958
CSA_41,,,,,,1433323.32233,USD,1604594.0779
CSA_42,,,,,,-1785.034252,USD,121984.754128
CSA_43,,,,,,-105357.245088,USD,133426.275696
CSA_44,,,,,,387458.276655,USD,417645.031959
CSA_45,,,,,,-575191.409568,USD,134031.327176
CSA_46,,,,,,382899.841375,USD,500881.010699
CSA_47,,,,,,695509.451736,USD,1083780.25309
CSA_48,,,,,,-831447.37126,USD,36642.020974
CSA_49,,,,,,587233.386946,USD,587233.386946
CSA_59,,,,,,-473582.952914,USD,1250.596655
CSA_58,,,,,,105624.313777,USD,515745.793395
CSA_57,,,,,,-2448114.32367,USD,122076.041687
CSA_56,,,,,,1297051.39961,USD,1297051.39961
CSA_55,,,,,,885877.107215,USD,885877.107215
CSA_54,,,,,,501989.986158,USD,920652.095534
CSA_53,,,,,,151370.517814,USD,332682.555897
CSA_52,,,,,,-137045.641695,USD,80712.997159
CSA_51,,,,,,-1171742.75391,USD,21260.040297
CSA_50,,,,,,-127470.653045,USD,26094.15645
CSA_28,,,,,,-102107.63957,USD,407561.029087
CSA_29,,,,,,-246408.37812,USD,297020.67443
CSA_22,,,,,,794887.354846,USD,1344657.67562
CSA_23,,,,,,1423307.05513,USD,1430615.5549
CSA_20,,,,,,-730205.759465,USD,80.649205
CSA_21,,,,,,37437.467361,USD,113624.757093
CSA_26,,,,,,669502.846131,USD,837324.801238
CSA_27,,,,,,-54131.052626,USD,258753.308121
CSA_24,,,,,,35673.582961,USD,829359.499784
CSA_25,,,,,,267197.083926,USD,985572.987389
CSA_39,,,,,,-537609.297831,USD,516.3456
CSA_38,,,,,,2034434.98131,USD,2034956.29682
CSA_31,,,,,,177316.284734,USD,258174.343222
CSA_30,,,,,,-271827.076058,USD,4623.645385
CSA_33,,,,,,-1730442.33027,USD,591572.181485
CSA_32,,,,,,-382689.076914,USD,937211.589262
CSA_35,,,,,,548325.274162,USD,618110.905769
CSA_34,,,,,,-551742.264178,USD,85819.463317
CSA_37,,,,,,670588.733184,USD,762803.859544
CSA_36,,,,,,-231482.612978,USD,141390.019862
CSA_119,,,,,,236109.795488,USD,634303.031302
CSA_118,,,,,,549787.931757,USD,891949.431916
CSA_113,,,,,,462468.954311,USD,462468.954311
CSA_112,,,,,,562591.653253,USD,574970.258786
CSA_111,,,,,,-13931.316304,USD,1019887.73841
CSA_110,,,,,,1131030.92184,USD,1134538.87832
CSA_117,,,,,,909585.06358,USD,1040644.8729
CSA_116,,,,,,580231.899022,USD,609184.623218
CSA_115,,,,,,-552768.940342,USD,125087.573234
CSA_114,,,,,,44465.561337,USD,45716.183418
CSA_108,,,,,,-240740.556849,USD,8960.104798
CSA_109,,,,,,826889.479069,USD,1004752.11835
CSA_100,,,,,,-957857.791686,USD,172861.209203
CSA_101,,,,,,-810431.079154,USD,187.656532
CSA_102,,,,,,-691282.088064,USD,36077.116615
CSA_103,,,,,,679981.029294,USD,763807.788623
CSA_104,,,,,,193203.905726,USD,267040.198082
CSA_105,,,,,,-1189354.67527,USD,101268.837429
CSA_106,,,,,,-754700.752905,USD,182730.140304
CSA_107,,,,,,608089.734006,USD,1520520.9331
CSA_13,,,,,,58014.787313,USD,345186.434503
CSA_12,,,,,,152559.702377,USD,157130.945653
CSA_11,,,,,,-182348.588565,USD,495588.679058
CSA_10,,,,,,-669506.292271,USD,165374.760552
CSA_17,,,,,,1716600.80198,USD,2134824.02076
CSA_16,,,,,,-865013.930988,USD,3962.363118
CSA_15,,,,,,-462535.87018,USD,1398.957748
CSA_14,,,,,,-481843.496716,USD,306358.313793
CSA_19,,,,,,-839351.192808,USD,216153.847695
CSA_18,,,,,,-669305.30884,USD,50244.001504
CSA_130,,,,,,550226.393338,USD,756015.855887
CSA_88,,,,,,357319.032132,USD,543341.600402
CSA_89,,,,,,158051.653147,USD,601988.160779
CSA_84,,,,,,6129.207473,USD,262084.29763
CSA_85,,,,,,-559808.61459,USD,0.0
CSA_86,,,,,,-546618.047879,USD,283868.41562
