#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base),x
Trade_6531,Swap,2020-06-01,3.923497,4701.995552,EUR,5227.443555,USD,5227.443555,5227.443555
Trade_1418,Swap,2035-06-01,18.921895,-167380.997561,USD,-167380.997561,USD,0.0,0.0
Trade_4055,Swap,2026-06-01,9.921895,-623013.793696,EUR,-692635.585142,USD,0.0,0.0
Trade_6405,Swap,2039-06-01,22.921895,389645.064505,JPY,3794.529581,USD,3794.529581,3794.529581
Trade_1589,Swap,2023-06-01,6.921895,6255.422931,GBP,8450.450838,USD,8450.450838,8450.450838
Trade_7633,Swap,2024-06-03,7.928962,-5520.395290,USD,-5520.395290,USD,0.0,0.0
Trade_4320,Swap,2045-06-01,28.921895,774755.368910,GBP,1046617.027861,USD,1046617.02786,1046617.02786
Trade_6494,Swap,2025-06-02,8.924635,-197641.456368,GBP,-266993.843408,USD,0.0,0.0
Trade_8826,Swap,2033-06-01,16.921895,-350888.383619,EUR,-390100.160488,USD,0.0,0.0
Trade_1681,Swap,2045-06-01,28.921895,785537.581113,GBP,1061182.718326,USD,1061182.71833,1061182.71833
Trade_5828,Swap,2033-06-01,16.921895,34141.449357,USD,34141.449357,USD,34141.449357,34141.449357
Trade_6164,Swap,2029-06-01,12.921895,-19799.876938,EUR,-22012.513186,USD,0.0,0.0
Trade_5341,Swap,2019-06-03,2.927375,42969.248150,JPY,418.452838,USD,418.452838,418.452838
Trade_9730,Swap,2032-06-01,15.923497,-419245.410201,GBP,-566358.624640,USD,0.0,0.0
Trade_9500,Swap,2034-06-01,17.921895,-13378.158974,EUR,-14873.168240,USD,0.0,0.0
Trade_9435,Swap,2039-06-01,22.921895,-17068.800365,AUD,-12707.721872,USD,0.0,0.0
Trade_3147,Swap,2040-06-01,23.923497,-144930.923772,USD,-144930.923772,USD,0.0,0.0
Trade_7753,Swap,2039-06-01,22.921895,-305049.452904,AUD,-227109.317687,USD,0.0,0.0
Trade_5617,Swap,2034-06-01,17.921895,95691.802156,EUR,106385.361047,USD,106385.361047,106385.361047
Trade_7936,Swap,2034-06-01,17.921895,-100537.430794,USD,-100537.430794,USD,0.0,0.0
Trade_7577,Swap,2026-06-01,9.921895,-43402.542409,GBP,-58632.494540,USD,0.0,0.0
Trade_9119,Swap,2043-06-01,26.921895,-41599.505139,GBP,-56196.771492,USD,0.0,0.0
Trade_3312,Swap,2029-06-01,12.921895,-41939.300693,JPY,-408.422771,USD,0.0,0.0
Trade_1221,Swap,2033-06-01,16.921895,-134862.652360,GBP,-182185.957073,USD,0.0,0.0
Trade_7292,Swap,2026-06-01,9.921895,-182361.067829,GBP,-246351.566530,USD,0.0,0.0
