#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2250679.51178,USD,4275095.68742
CUST_S,,,,,,-553063.155945,USD,4066407.96855
CUST_P,,,,,,553576.273663,USD,2274826.61783
CUST_Q,,,,,,-1805983.03764,USD,899422.821623
CUST_V,,,,,,2763129.67684,USD,5548264.56343
CUST_W,,,,,,315294.80316,USD,1748907.60125
CUST_T,,,,,,-1822282.0761,USD,2344078.90285
CUST_U,,,,,,-1501207.83646,USD,1030572.60238
CUST_Z,,,,,,4520218.34671,USD,5104287.33273
CUST_X,,,,,,2664604.06035,USD,3351894.61207
CUST_Y,,,,,,173652.436245,USD,1568745.60803
CUST_B,,,,,,969145.796434,USD,2209723.19506
CUST_C,,,,,,-320462.561771,USD,1657148.98304
CUST_A,,,,,,-150894.574277,USD,2724750.51394
CUST_F,,,,,,165750.1754,USD,2355148.873
CUST_G,,,,,,-994641.702999,USD,2985819.72581
CUST_D,,,,,,-888718.461083,USD,2266217.4334
CUST_E,,,,,,3385773.67118,USD,5536765.46476
CUST_J,,,,,,-119663.578904,USD,2063046.16398
CUST_K,,,,,,365526.323427,USD,1644138.65973
CUST_H,,,,,,1765071.97817,USD,4068485.63383
CUST_I,,,,,,2171623.42654,USD,3000295.57131
CUST_N,,,,,,-1543045.38733,USD,1361497.85992
CUST_O,,,,,,2407939.59343,USD,3438433.73474
CUST_L,,,,,,-3333974.12844,USD,1417139.40241
CUST_M,,,,,,449618.212001,USD,1987450.33016
