#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2610330.85308,USD,4336844.05493
CUST_S,,,,,,-405604.557146,USD,3740335.93842
CUST_P,,,,,,33149.586508,USD,2055454.11321
CUST_Q,,,,,,-1274477.14317,USD,1076282.39045
CUST_V,,,,,,2323687.22205,USD,5044172.0591
CUST_W,,,,,,391415.348692,USD,2002138.15252
CUST_T,,,,,,-1700219.53031,USD,2234651.71331
CUST_U,,,,,,-1689516.22536,USD,1194633.97573
CUST_Z,,,,,,4537979.49168,USD,5163629.49587
CUST_X,,,,,,2491145.47369,USD,3447873.33453
CUST_Y,,,,,,-78229.798265,USD,1340613.41401
CUST_B,,,,,,881492.861886,USD,2437232.31149
CUST_C,,,,,,-637933.412742,USD,1424787.10788
CUST_A,,,,,,71070.289869,USD,2825152.89012
CUST_F,,,,,,57629.746926,USD,2061194.55413
CUST_G,,,,,,-1500461.8268,USD,2665347.46133
CUST_D,,,,,,-1211658.91361,USD,2328932.25546
CUST_E,,,,,,3212154.1128,USD,5388146.98527
CUST_J,,,,,,301573.985281,USD,2044998.98511
CUST_K,,,,,,243424.648554,USD,1918233.63597
CUST_H,,,,,,1882704.87903,USD,3941605.85082
CUST_I,,,,,,1726375.45212,USD,2730423.84093
CUST_N,,,,,,-1887094.55035,USD,1514026.79596
CUST_O,,,,,,2412016.4184,USD,3420337.3055
CUST_L,,,,,,-2920768.70295,USD,1876844.75075
CUST_M,,,,,,87748.57581,USD,1949277.5271
