#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-124764.656096,USD,734722.196858
CSA_41,,,,,,2037068.85754,USD,2050979.42069
CSA_42,,,,,,31347.594657,USD,89939.877656
CSA_43,,,,,,-135821.157888,USD,80774.659352
CSA_44,,,,,,297052.782186,USD,318089.123019
CSA_45,,,,,,-503272.624373,USD,190640.760209
CSA_46,,,,,,521682.734029,USD,660211.897818
CSA_47,,,,,,726070.050538,USD,1084743.27892
CSA_48,,,,,,-1000064.10941,USD,928.266298
CSA_49,,,,,,236762.925868,USD,299115.542073
CSA_59,,,,,,-464521.474835,USD,607.850457
CSA_58,,,,,,-257940.923839,USD,315395.447862
CSA_57,,,,,,-2638677.32353,USD,101028.815041
CSA_56,,,,,,1143864.18436,USD,1143864.18436
CSA_55,,,,,,829785.724625,USD,829785.724625
CSA_54,,,,,,346486.6413,USD,717896.181401
CSA_53,,,,,,139464.049032,USD,209682.020454
CSA_52,,,,,,45000.922311,USD,93895.515481
CSA_51,,,,,,-1117312.68871,USD,66974.194005
CSA_50,,,,,,-182877.615745,USD,0.0
CSA_28,,,,,,185878.331926,USD,570616.345577
CSA_29,,,,,,-479798.69531,USD,255120.535412
CSA_22,,,,,,1165477.19755,USD,1476975.40086
CSA_23,,,,,,1842133.96228,USD,1843181.61993
CSA_20,,,,,,-655882.285675,USD,0.0
CSA_21,,,,,,-56094.532339,USD,49764.855754
CSA_26,,,,,,1000512.60802,USD,1100994.51702
CSA_27,,,,,,-294700.879748,USD,123635.782451
CSA_24,,,,,,-438425.271143,USD,635807.837536
CSA_25,,,,,,699062.756444,USD,1382417.2712
CSA_39,,,,,,-634833.107835,USD,133.336436
CSA_38,,,,,,2263216.84511,USD,2428796.3929
CSA_31,,,,,,174417.969735,USD,227971.81273
CSA_30,,,,,,-354261.617957,USD,10827.373661
CSA_33,,,,,,-1432823.36672,USD,581288.244045
CSA_32,,,,,,-796017.153814,USD,874637.531854
CSA_35,,,,,,573242.532919,USD,786229.988093
CSA_34,,,,,,-19281.808922,USD,195219.884612
CSA_37,,,,,,625703.775949,USD,714425.638421
CSA_36,,,,,,-246617.978108,USD,63528.286203
CSA_119,,,,,,588210.315356,USD,804251.242565
CSA_118,,,,,,906331.918313,USD,1082390.13297
CSA_113,,,,,,329453.633913,USD,329453.633913
CSA_112,,,,,,393398.681855,USD,393712.757369
CSA_111,,,,,,133773.214576,USD,833392.975026
CSA_110,,,,,,1535672.89504,USD,1535672.89504
CSA_117,,,,,,706933.384059,USD,766530.267793
CSA_116,,,,,,743380.560644,USD,787472.811856
CSA_115,,,,,,-652877.293432,USD,255650.837186
CSA_114,,,,,,187667.11178,USD,189927.949022
CSA_108,,,,,,-355393.922885,USD,38779.7387
CSA_109,,,,,,955201.902125,USD,1196802.62696
CSA_100,,,,,,-943266.142872,USD,200385.556674
CSA_101,,,,,,-605584.788968,USD,389.670505
CSA_102,,,,,,-513208.196832,USD,23273.048608
CSA_103,,,,,,760360.731338,USD,808465.098709
CSA_104,,,,,,153440.676093,USD,256764.628087
CSA_105,,,,,,-1484524.64699,USD,105741.529818
CSA_106,,,,,,-638966.300523,USD,430266.262346
CSA_107,,,,,,827172.648288,USD,1842650.53606
CSA_13,,,,,,94458.186791,USD,212403.46614
CSA_12,,,,,,351799.881928,USD,354001.935195
CSA_11,,,,,,-458650.54457,USD,338466.418006
CSA_10,,,,,,-439089.404086,USD,256286.555007
CSA_17,,,,,,1560611.66059,USD,2134365.55323
CSA_16,,,,,,-928314.719096,USD,7994.264757
CSA_15,,,,,,-508055.540331,USD,1052.31294
CSA_14,,,,,,-117485.39656,USD,518862.975601
CSA_19,,,,,,-603577.59053,USD,156754.705705
CSA_18,,,,,,-584495.978906,USD,29817.731764
CSA_130,,,,,,762695.14571,USD,975708.347576
CSA_88,,,,,,638776.781451,USD,783804.759843
CSA_89,,,,,,101513.391023,USD,878842.921595
CSA_84,,,,,,4573.167065,USD,201673.031997
CSA_85,,,,,,-867148.06973,USD,0.0
CSA_86,,,,,,-475227.856284,USD,306338.581274
CSA_87,,,,,,1103096.7189,USD,1123358.8198
CSA_80,,,,,,-430205.261341,USD,0.0
CSA_81,,,,,,-641297.018783,USD,401161.032738
CSA_82,,,,,,400750.161381,USD,462462.015119
CSA_83,,,,,,-171355.3831,USD,10986.310599
CSA_66,,,,,,413745.335436,USD,921528.628528
CSA_67,,,,,,-282875.833533,USD,26479.092057
CSA_64,,,,,,-713491.921744,USD,74224.91411
CSA_65,,,,,,292780.925039,USD,348699.683067
CSA_62,,,,,,-122250.465307,USD,124934.74391
CSA_63,,,,,,845832.324523,USD,1388583.75292
CSA_60,,,,,,-703493.165106,USD,315948.453028
CSA_61,,,,,,-215122.286701,USD,12834.433099
CSA_68,,,,,,-182350.108148,USD,162059.353611
CSA_69,,,,,,-259851.638863,USD,329893.382087
CSA_122,,,,,,-75052.325247,USD,110871.761703
CSA_123,,,,,,-42573.770993,USD,3718.746954
CSA_120,,,,,,-453710.704677,USD,7228.879339
CSA_121,,,,,,739402.252597,USD,748161.766765
CSA_126,,,,,,207995.762409,USD,310576.809432
CSA_127,,,,,,1210401.87652,USD,1210401.87652
CSA_124,,,,,,-183518.70118,USD,35959.232181
CSA_125,,,,,,-516487.253442,USD,441901.906407
CSA_128,,,,,,2195977.2168,USD,2215616.90037
CSA_129,,,,,,160909.490237,USD,451325.561977
CSA_99,,,,,,-1494588.58465,USD,8330.955573
CSA_98,,,,,,-71122.081248,USD,516499.175698
CSA_93,,,,,,-6771.177375,USD,529555.737052
CSA_92,,,,,,262632.389142,USD,570326.195847
CSA_91,,,,,,396899.307698,USD,1029486.69157
CSA_90,,,,,,1242171.81799,USD,1244498.97242
CSA_97,,,,,,-493125.16211,USD,207553.584789
CSA_96,,,,,,1301882.44057,USD,1301882.44057
CSA_95,,,,,,558276.603418,USD,1076758.87941
CSA_94,,,,,,-1616641.68003,USD,534208.434542
CSA_75,,,,,,1203400.29792,USD,1342639.16048
CSA_74,,,,,,682062.850785,USD,931092.789027
CSA_77,,,,,,-368788.025908,USD,140754.418934
CSA_76,,,,,,-471758.359603,USD,182644.610035
CSA_71,,,,,,-489730.636613,USD,21160.280193
CSA_70,,,,,,-1575762.30525,USD,74066.339673
CSA_73,,,,,,969272.484684,USD,987733.596186
CSA_72,,,,,,47011.421628,USD,137711.479613
CSA_79,,,,,,1381269.23112,USD,1714036.91929
CSA_78,,,,,,-77367.997763,USD,18018.164951
CSA_3,,,,,,550827.974565,USD,905946.030315
CSA_2,,,,,,1196094.54956,USD,1259192.92848
CSA_1,,,,,,-1438816.52647,USD,224913.544797
CSA_7,,,,,,447630.737559,USD,686048.580103
