#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,163273.71,55468.56,-239582.4,-78774.15,0.0,0.0,163273.71,55468.56,None,55468.56,1678986.1
,CUST_S,125010.142,116462.73,-177384.68,-169992.22,0.0,0.0,125010.142,116462.73,None,116462.73,1290283.17
,CUST_P,118198.22,82161.23,-170398.772,-117447.36,0.0,0.0,118198.22,82161.23,None,82161.23,1212456.82
,CUST_Q,37270.0885,122951.28,-53043.007,-180461.13,0.0,0.0,37270.0885,122951.28,None,122951.28,383082.266
,CUST_V,216235.96,75506.989,-319054.03,-108644.164,0.0,0.0,216235.96,75506.989,None,75506.989,2174938.5
,CUST_W,91234.57,73365.36,-130721.7,-104010.59,0.0,0.0,91234.57,73365.36,None,73365.36,965314.1
,CUST_T,133170.0,201666.36,-189535.72,-295383.85,0.0,0.0,133170.0,201666.36,None,201666.36,1377985.4
,CUST_U,44063.26,143112.305,-65137.76,-210962.8,0.0,0.0,44063.26,143112.305,None,143112.305,441408.7
,CUST_Z,275081.0,18432.476,-404676.6,-24526.91,0.0,0.0,275081.0,18432.476,None,18432.476,2768659.0
,CUST_X,175168.96,64884.81,-258708.34,-91308.36,0.0,0.0,175168.96,64884.81,None,64884.81,1761352.8
,CUST_Y,40242.996,55882.14,-61117.962,-80047.12,0.0,0.0,40242.996,55882.14,None,55882.14,456425.34
,CUST_B,89408.38,67030.683,-129887.67,-93058.309,0.0,0.0,89408.38,67030.683,None,67030.683,912174.3
,CUST_C,73789.109,101939.01,-106642.947,-146146.39,0.0,0.0,73789.109,101939.01,None,101939.01,752600.56
,CUST_A,107062.73,122854.723,-159178.77,-180873.821,0.0,0.0,107062.73,122854.723,None,122854.723,1072927.3
,CUST_F,115711.99,111389.53,-167292.44,-161211.94,0.0,0.0,115711.99,111389.53,None,111389.53,1186376.8
,CUST_G,80426.17,151934.03778,-118857.02,-220670.08197,0.0,0.0,80426.17,151934.03778,None,151934.03778,826364.6
,CUST_D,127991.159,114882.4437,-182409.29,-174447.537,0.0,0.0,127991.159,114882.4437,None,114882.4437,1328831.02
,CUST_E,252082.4,79200.71,-369111.3,-113134.24,0.0,0.0,252082.4,79200.71,None,79200.71,2552687.3
,CUST_J,103171.99,92174.7808,-149584.46,-135323.962,0.0,0.0,103171.99,92174.7808,None,92174.7808,1051032.2
,CUST_K,79097.93,65029.82,-117090.14,-95020.11,0.0,0.0,79097.93,65029.82,None,65029.82,797610.3
,CUST_H,163769.855,58470.69,-242329.038,-86614.717,0.0,0.0,163769.855,58470.69,None,58470.69,1645409.25
,CUST_I,159404.099,29112.85,-234092.08,-43635.85,0.0,0.0,159404.099,29112.85,None,29112.85,1677222.67
,CUST_N,36287.27,114852.98,-51894.75,-169660.34,0.0,0.0,36287.27,114852.98,None,114852.98,373237.0
,CUST_O,155505.312,37907.43,-231915.77,-55181.01,0.0,0.0,155505.312,37907.43,None,37907.43,1561519.6
,CUST_L,73980.7929,289628.94,-106586.3782,-421315.66,0.0,0.0,73980.7929,289628.94,None,289628.94,757094.914
,CUST_M,76819.443,45110.67,-114023.841,-66679.88,0.0,0.0,76819.443,45110.67,None,45110.67,770699.35
