#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2238714.75141,USD,4221365.70277
CUST_S,,,,,,-543748.846935,USD,3995342.88438
CUST_P,,,,,,532635.218085,USD,2241036.4906
CUST_Q,,,,,,-1764716.16457,USD,893931.420642
CUST_V,,,,,,2708840.2627,USD,5473998.17034
CUST_W,,,,,,304394.131147,USD,1731440.29599
CUST_T,,,,,,-1804795.47192,USD,2305691.74021
CUST_U,,,,,,-1493111.76736,USD,1022723.60575
CUST_Z,,,,,,4480510.30308,USD,5054446.68063
CUST_X,,,,,,2615865.18996,USD,3294885.73509
CUST_Y,,,,,,158896.723155,USD,1544199.32254
CUST_B,,,,,,944577.806502,USD,2186036.83005
CUST_C,,,,,,-307274.248913,USD,1644067.91321
CUST_A,,,,,,-153145.754554,USD,2700750.79405
CUST_F,,,,,,165602.674433,USD,2315537.38672
CUST_G,,,,,,-984636.365999,USD,2930651.52313
CUST_D,,,,,,-896103.499459,USD,2233644.88561
CUST_E,,,,,,3343221.26901,USD,5469467.87882
CUST_J,,,,,,-95349.774116,USD,2052632.16121
CUST_K,,,,,,371916.637037,USD,1640698.22412
CUST_H,,,,,,1743204.79598,USD,4012847.65298
CUST_I,,,,,,2136720.33828,USD,2959178.54826
CUST_N,,,,,,-1544211.21154,USD,1344931.86149
CUST_O,,,,,,2379952.7067,USD,3398299.6582
CUST_L,,,,,,-3292055.06576,USD,1412908.22879
CUST_M,,,,,,440945.867813,USD,1966136.36977
