#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-138406.729175,USD,910903.114016
CSA_41,,,,,,2385689.99695,USD,2392387.72912
CSA_42,,,,,,53627.980793,USD,99150.004605
CSA_43,,,,,,-107502.934747,USD,42413.763583
CSA_44,,,,,,173662.994453,USD,190620.098948
CSA_45,,,,,,-368757.699168,USD,234606.952013
CSA_46,,,,,,575616.284998,USD,721779.118166
CSA_47,,,,,,661146.891227,USD,969880.863745
CSA_48,,,,,,-944799.434488,USD,123815.724315
CSA_49,,,,,,-177615.09114,USD,237156.454983
CSA_59,,,,,,-435154.427206,USD,224.84401
CSA_58,,,,,,-586815.755812,USD,132281.264088
CSA_57,,,,,,-2677799.06685,USD,82955.491516
CSA_56,,,,,,920917.73292,USD,920917.73292
CSA_55,,,,,,715031.668493,USD,715031.668493
CSA_54,,,,,,244550.928181,USD,517633.7974
CSA_53,,,,,,133486.340807,USD,149199.775417
CSA_52,,,,,,169533.701519,USD,169533.701519
CSA_51,,,,,,-890686.001963,USD,89299.281291
CSA_50,,,,,,-209698.424713,USD,0.0
CSA_28,,,,,,466755.041386,USD,702650.940193
CSA_29,,,,,,-724679.136161,USD,197101.81875
CSA_22,,,,,,1310803.19273,USD,1406902.44422
CSA_23,,,,,,1968576.08108,USD,1968576.08108
CSA_20,,,,,,-536478.322459,USD,0.0
CSA_21,,,,,,-158613.090067,USD,57306.432526
CSA_26,,,,,,1266063.52467,USD,1306164.14256
CSA_27,,,,,,-448161.201483,USD,81108.689434
CSA_24,,,,,,-709291.674047,USD,465545.384083
CSA_25,,,,,,931746.759315,USD,1571137.53692
CSA_39,,,,,,-606296.061285,USD,0.0
CSA_38,,,,,,2132827.0471,USD,2411665.4434
CSA_31,,,,,,164771.997004,USD,194143.000584
CSA_30,,,,,,-394375.553976,USD,28511.795787
CSA_33,,,,,,-1000657.47342,USD,631221.872937
CSA_32,,,,,,-1070240.47368,USD,863765.017991
CSA_35,,,,,,666034.753547,USD,929214.878799
CSA_34,,,,,,255454.830556,USD,312306.75282
CSA_37,,,,,,577734.51238,USD,659280.173937
CSA_36,,,,,,-222653.973046,USD,30998.921624
CSA_119,,,,,,834730.328605,USD,892001.797359
CSA_118,,,,,,1080279.95437,USD,1084591.11988
CSA_113,,,,,,249072.095899,USD,249072.095899
CSA_112,,,,,,150630.34771,USD,229122.82621
CSA_111,,,,,,224652.534376,USD,624493.196988
CSA_110,,,,,,1626664.34342,USD,1626664.34342
CSA_117,,,,,,422232.714304,USD,469201.799798
CSA_116,,,,,,766678.736934,USD,815222.798706
CSA_115,,,,,,-636446.204092,USD,309677.134277
CSA_114,,,,,,316485.357254,USD,319075.042621
CSA_108,,,,,,-375661.597402,USD,64480.437619
CSA_109,,,,,,1060393.4384,USD,1241522.68826
CSA_100,,,,,,-830706.099909,USD,152984.434026
CSA_101,,,,,,-356178.221117,USD,481.597561
CSA_102,,,,,,-364173.478663,USD,8319.987573
CSA_103,,,,,,682502.401739,USD,707460.0398
CSA_104,,,,,,102237.006697,USD,210301.434412
CSA_105,,,,,,-1557499.47601,USD,96160.546404
CSA_106,,,,,,-570823.463738,USD,556921.357699
CSA_107,,,,,,968267.542017,USD,1984409.34334
CSA_13,,,,,,96935.097508,USD,187059.469119
CSA_12,,,,,,470716.744879,USD,473721.751683
CSA_11,,,,,,-576986.283602,USD,287364.51463
CSA_10,,,,,,-342460.185625,USD,240378.929679
CSA_17,,,,,,1418258.637,USD,2072584.1141
CSA_16,,,,,,-834834.619569,USD,18002.332555
CSA_15,,,,,,-451109.837716,USD,1567.159124
CSA_14,,,,,,153170.030018,USD,694355.018658
CSA_19,,,,,,-380803.482854,USD,108563.90614
CSA_18,,,,,,-562245.711572,USD,34494.53282
CSA_130,,,,,,926132.182214,USD,1116141.41533
CSA_88,,,,,,764327.966709,USD,879018.67223
CSA_89,,,,,,12134.691204,USD,1054303.40928
CSA_84,,,,,,-33187.796486,USD,215133.919739
CSA_85,,,,,,-989826.802305,USD,0.0
CSA_86,,,,,,-352433.917959,USD,348699.571726
CSA_87,,,,,,890567.172026,USD,1013417.05071
CSA_80,,,,,,-230665.486034,USD,0.0
CSA_81,,,,,,-878555.030953,USD,324465.67446
CSA_82,,,,,,290452.684859,USD,342218.762021
CSA_83,,,,,,-153599.21969,USD,12113.064422
CSA_66,,,,,,292979.516632,USD,634471.54394
CSA_67,,,,,,-260053.392252,USD,0.0
CSA_64,,,,,,-538636.521071,USD,82324.898327
CSA_65,,,,,,230272.723857,USD,254347.236662
CSA_62,,,,,,-210772.877186,USD,126801.176452
CSA_63,,,,,,1145435.10759,USD,1469060.51473
CSA_60,,,,,,-513203.548809,USD,276528.896252
CSA_61,,,,,,-185352.565372,USD,33602.543601
CSA_68,,,,,,-215590.84553,USD,197438.014699
CSA_69,,,,,,-13542.775581,USD,435826.287736
CSA_122,,,,,,-47913.758378,USD,118481.185896
CSA_123,,,,,,-33709.910981,USD,25189.589486
CSA_120,,,,,,-488056.544249,USD,33868.219344
CSA_121,,,,,,888698.228491,USD,902074.898624
CSA_126,,,,,,224885.266201,USD,378411.099546
CSA_127,,,,,,1140958.25338,USD,1140958.25338
CSA_124,,,,,,-162472.160128,USD,19622.384472
CSA_125,,,,,,-485705.675849,USD,478831.264066
CSA_128,,,,,,1890122.7666,USD,1900273.11782
CSA_129,,,,,,298411.834687,USD,518662.794554
CSA_99,,,,,,-1771278.64347,USD,8911.900436
CSA_98,,,,,,-14528.725155,USD,517869.979828
CSA_93,,,,,,-14996.812606,USD,553626.743046
CSA_92,,,,,,121168.712921,USD,520519.163325
CSA_91,,,,,,475011.954738,USD,1097049.26282
CSA_90,,,,,,924118.839434,USD,925926.998818
CSA_97,,,,,,-612792.80407,USD,201402.651631
CSA_96,,,,,,1424510.80069,USD,1424522.77429
CSA_95,,,,,,706632.513613,USD,1246100.57073
CSA_94,,,,,,-1831565.2156,USD,578047.14445
CSA_75,,,,,,1081266.20111,USD,1270124.76077
CSA_74,,,,,,767010.808086,USD,869481.684312
CSA_77,,,,,,-137511.838004,USD,154704.97376
CSA_76,,,,,,-391603.826436,USD,298792.495606
CSA_71,,,,,,-553125.692586,USD,25603.814471
CSA_70,,,,,,-1348003.71481,USD,77196.015115
CSA_73,,,,,,1042967.46222,USD,1057280.55118
CSA_72,,,,,,41833.927868,USD,175808.847466
CSA_79,,,,,,1351031.46679,USD,1771386.0193
CSA_78,,,,,,-58615.098233,USD,16153.001933
CSA_3,,,,,,334680.222386,USD,708288.576192
CSA_2,,,,,,1192754.2113,USD,1260142.16052
CSA_1,,,,,,-1412812.10194,USD,291753.00853
CSA_7,,,,,,309834.528448,USD,470445.526178
CSA_6,,,,,,372969.414377,USD,473211.073107
CSA_5,,,,,,-456558.984799,USD,111331.466956
CSA_4,,,,,,188790.89849,USD,329235.581854
CSA_9,,,,,,491219.626979,USD,533833.267584
CSA_8,,,,,,113014.422323,USD,468168.033506
