#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,186423.36,57107.89,-363529.6,-112560.32,0.0,0.0,186423.36,57107.89,None,57107.89,2012560.1
,CUST_S,111280.468,91594.22,-214143.604,-175550.8,0.0,0.0,111280.468,91594.22,None,91594.22,1244928.01
,CUST_P,97929.352,120568.73,-188735.267,-235039.23,0.0,0.0,97929.352,120568.73,None,120568.73,1090823.4
,CUST_Q,61740.967,73722.208,-120983.428,-141182.709,0.0,0.0,61740.967,73722.208,None,73722.208,682172.0
,CUST_V,159919.45,81558.248,-311172.05,-158967.028,0.0,0.0,159919.45,81558.248,None,81558.248,1731046.07
,CUST_W,95869.35,72111.511,-185939.6,-138660.624,0.0,0.0,95869.35,72111.511,None,72111.511,1092334.8
,CUST_T,121088.437,160284.73,-233652.68,-309641.49,0.0,0.0,121088.437,160284.73,None,160284.73,1362308.8
,CUST_U,47752.336,158905.289,-92772.86,-310920.99,0.0,0.0,47752.336,158905.289,None,158905.289,508346.51
,CUST_Z,275769.3,19856.738,-537420.2,-38652.74,0.0,0.0,275769.3,19856.738,None,19856.738,2987272.0
,CUST_X,162077.82,68275.4,-313222.8,-134489.63,0.0,0.0,162077.82,68275.4,None,68275.4,1773923.2
,CUST_Y,25462.852,62454.64,-50047.26,-119869.14,0.0,0.0,25462.852,62454.64,None,62454.64,294278.32
,CUST_B,89599.03,89840.107,-173116.57,-173470.266,0.0,0.0,89599.03,89840.107,None,89840.107,991960.75
,CUST_C,55566.915,102910.0,-107832.71,-200848.3,0.0,0.0,55566.915,102910.0,None,102910.0,630822.89
,CUST_A,113155.81,105802.052,-224008.64,-207194.31,0.0,0.0,113155.81,105802.052,None,105802.052,1199705.1
,CUST_F,87926.17,96336.3,-170382.67,-188000.6,0.0,0.0,87926.17,96336.3,None,96336.3,989226.0
,CUST_G,62984.25,188641.97178,-126246.81,-367287.45008,0.0,0.0,62984.25,188641.97178,None,188641.97178,688972.2
,CUST_D,132601.183,153370.348084,-254082.033,-304625.881505,0.0,0.0,132601.183,153370.348084,None,153370.348084,1483917.05
,CUST_E,208173.0,73400.74,-402620.1,-144030.74,0.0,0.0,208173.0,73400.74,None,73400.74,2286630.0
,CUST_J,122822.37,64168.5562,-238227.38,-124923.4846,0.0,0.0,122822.37,64168.5562,None,64168.5562,1349619.7
,CUST_K,95122.54,90899.155,-188598.51,-176638.69,0.0,0.0,95122.54,90899.155,None,90899.155,1009427.3
,CUST_H,164109.809,52371.152,-320885.06,-102067.463,0.0,0.0,164109.809,52371.152,None,52371.152,1758071.67
,CUST_I,114338.604,47065.273,-220936.051,-94303.01,0.0,0.0,114338.604,47065.273,None,47065.273,1333862.54
,CUST_N,35391.907,147446.99,-68321.59,-289483.27,0.0,0.0,35391.907,147446.99,None,147446.99,388501.99
,CUST_O,140236.16,36826.59,-273333.28,-70009.6,0.0,0.0,140236.16,36826.59,None,36826.59,1504731.0
,CUST_L,109181.554425,255863.085,-211906.47078,-495644.52,0.0,0.0,109181.554425,255863.085,None,255863.085,1197028.06546
,CUST_M,56552.032,61752.62,-111650.023,-121440.04,0.0,0.0,56552.032,61752.62,None,61752.62,603273.81
