#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2623319.41572,USD,4172210.59296
CUST_S,,,,,,-126223.52226,USD,3538203.06029
CUST_P,,,,,,-544200.957688,USD,1804805.15726
CUST_Q,,,,,,-628053.889493,USD,1341061.97421
CUST_V,,,,,,1573729.86326,USD,3879006.73927
CUST_W,,,,,,634341.275767,USD,2312656.68613
CUST_T,,,,,,-1177118.25793,USD,2077246.0536
CUST_U,,,,,,-1900517.51673,USD,1188913.61731
CUST_Z,,,,,,4291594.32837,USD,4795108.81792
CUST_X,,,,,,1965807.5276,USD,3226275.99881
CUST_Y,,,,,,-220409.530986,USD,998192.16517
CUST_B,,,,,,327015.755815,USD,2204110.27464
CUST_C,,,,,,-969701.069106,USD,1350991.28549
CUST_A,,,,,,410980.574311,USD,2703407.82535
CUST_F,,,,,,-62818.131323,USD,1819433.55414
CUST_G,,,,,,-1956555.93886,USD,2526450.94003
CUST_D,,,,,,-1417746.30056,USD,2415035.39402
CUST_E,,,,,,2671456.34544,USD,4771462.2019
CUST_J,,,,,,615956.356816,USD,2164052.39725
CUST_K,,,,,,184633.95952,USD,2217546.1418
CUST_H,,,,,,1859845.08456,USD,3543085.40625
CUST_I,,,,,,1205359.42623,USD,2489176.88411
CUST_N,,,,,,-2210128.83311,USD,1566270.68797
CUST_O,,,,,,2178326.91808,USD,3360366.37463
CUST_L,,,,,,-2382304.47018,USD,2328622.63672
CUST_M,,,,,,-127343.403425,USD,1843499.69132
