#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2481117.85308,USD,4012055.79237
CUST_S,,,,,,-276218.916894,USD,3638511.212
CUST_P,,,,,,-380719.603761,USD,1759558.33671
CUST_Q,,,,,,-744047.442387,USD,1243537.59356
CUST_V,,,,,,1837535.16712,USD,4260164.23561
CUST_W,,,,,,448217.102109,USD,2109967.40705
CUST_T,,,,,,-1372318.39684,USD,2073049.06827
CUST_U,,,,,,-1748757.47293,USD,1183991.23084
CUST_Z,,,,,,4373108.2273,USD,4878075.75495
CUST_X,,,,,,2199341.47682,USD,3304895.49467
CUST_Y,,,,,,-179878.710441,USD,1083463.87805
CUST_B,,,,,,494968.046099,USD,2244996.03779
CUST_C,,,,,,-751304.483208,USD,1354565.25723
CUST_A,,,,,,169044.795769,USD,2626866.78651
CUST_F,,,,,,-17038.210881,USD,1915259.75318
CUST_G,,,,,,-1757165.97681,USD,2612150.1634
CUST_D,,,,,,-1268831.32894,USD,2399331.90975
CUST_E,,,,,,2678403.39841,USD,4706764.41721
CUST_J,,,,,,547028.977189,USD,2038525.58907
CUST_K,,,,,,279323.804988,USD,2121059.28257
CUST_H,,,,,,1641124.40063,USD,3490075.88935
CUST_I,,,,,,1283802.88319,USD,2379223.87829
CUST_N,,,,,,-2104673.46659,USD,1480212.73085
CUST_O,,,,,,2121760.90609,USD,3230465.96588
CUST_L,,,,,,-2435862.01428,USD,2145180.39975
CUST_M,,,,,,-127557.418675,USD,1778585.35167
