#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base),x
Trade_6531,Swap,2020-06-01,4.502972,4207.496362,EUR,4443.747283,USD,4443.747283,4443.747283
Trade_1418,Swap,2035-06-01,19.501370,-131293.143140,USD,-131293.143140,USD,0.0,0.0
Trade_4055,Swap,2026-06-01,10.501370,-583399.301870,EUR,-616157.172670,USD,0.0,0.0
Trade_6405,Swap,2039-06-01,23.501370,160232.815532,JPY,1300.284962,USD,1300.284962,1300.284962
Trade_1589,Swap,2023-06-01,7.501370,-76169.607785,GBP,-114574.324029,USD,0.0,0.0
Trade_7633,Swap,2024-06-03,8.508436,-628.020302,USD,-628.020302,USD,0.0,0.0
Trade_4320,Swap,2045-06-01,29.501370,965348.308177,GBP,1452076.925159,USD,1452076.92516,1452076.92516
Trade_6494,Swap,2025-06-02,9.504110,-103312.339754,GBP,-155402.421457,USD,0.0,0.0
Trade_8826,Swap,2033-06-01,17.501370,-304446.201523,EUR,-321540.855738,USD,0.0,0.0
Trade_1681,Swap,2045-06-01,29.501370,474967.893369,GBP,714446.705206,USD,714446.705206,714446.705206
Trade_5828,Swap,2033-06-01,17.501370,23624.135650,USD,23624.135650,USD,23624.13565,23624.13565
Trade_6164,Swap,2029-06-01,13.501370,-164588.982995,EUR,-173830.654390,USD,0.0,0.0
Trade_5341,Swap,2019-06-03,3.506849,41672.394952,JPY,338.170357,USD,338.170357,338.170357
Trade_9730,Swap,2032-06-01,16.502972,-334177.892236,GBP,-502670.385501,USD,0.0,0.0
Trade_9500,Swap,2034-06-01,18.501370,17894.095546,EUR,18898.849011,USD,18898.849011,18898.849011
Trade_9435,Swap,2039-06-01,23.501370,-151804.068535,AUD,-109799.882771,USD,0.0,0.0
Trade_3147,Swap,2040-06-01,24.502972,-272169.498721,USD,-272169.498721,USD,0.0,0.0
Trade_7753,Swap,2039-06-01,23.501370,-358090.868012,AUD,-259007.124832,USD,0.0,0.0
Trade_5617,Swap,2034-06-01,18.501370,174409.972185,EUR,184203.092123,USD,184203.092123,184203.092123
Trade_7936,Swap,2034-06-01,18.501370,-313162.069932,USD,-313162.069932,USD,0.0,0.0
Trade_7577,Swap,2026-06-01,10.501370,-21174.127157,GBP,-31850.122069,USD,0.0,0.0
Trade_9119,Swap,2043-06-01,27.501370,-22420.862584,GBP,-33725.461498,USD,0.0,0.0
Trade_3312,Swap,2029-06-01,13.501370,-970.729106,JPY,-7.877440,USD,0.0,0.0
Trade_1221,Swap,2033-06-01,17.501370,-266634.544888,GBP,-401071.682421,USD,0.0,0.0
Trade_7292,Swap,2026-06-01,10.501370,-153751.191188,GBP,-231272.541785,USD,0.0,0.0
Trade_3223,Swap,2028-06-01,12.502972,-19907.106326,JPY,-161.545629,USD,0.0,0.0
Trade_5477,Swap,2033-06-01,17.501370,16563.036405,AUD,11980.044232,USD,11980.044232,11980.044232
Trade_4786,Swap,2024-06-03,8.508436,10812.881472,USD,10812.881472,USD,10812.881472,10812.881472
Trade_4970,Swap,2032-06-01,16.502972,487066.263640,JPY,3952.529548,USD,3952.529548,3952.529548
Trade_5849,Swap,2026-06-01,10.501370,-310556.202636,GBP,-467138.640005,USD,0.0,0.0
Trade_5519,Swap,2023-06-01,7.501370,-78288.554115,GBP,-117761.643099,USD,0.0,0.0
Trade_6483,Swap,2036-06-02,20.505704,25278.414588,EUR,26697.797567,USD,26697.797567,26697.797567
Trade_6013,Swap,2030-06-03,14.506849,104673.458257,USD,104673.458257,USD,104673.458257,104673.458257
Trade_8937,Swap,2026-06-01,10.501370,321055.857472,JPY,2605.359595,USD,2605.359595,2605.359595
Trade_4512,Swap,2028-06-01,12.502972,82533.908031,AUD,59696.775679,USD,59696.775679,59696.775679
Trade_1553,Swap,2021-06-01,5.501370,-2753.745302,JPY,-22.346569,USD,0.0,0.0
Trade_8668,Swap,2028-06-01,12.502972,160705.990951,JPY,1304.124767,USD,1304.124767,1304.124767
Trade_1546,Swap,2040-06-01,24.502972,648163.746390,EUR,684558.140749,USD,684558.140749,684558.140749
Trade_6251,Swap,2030-06-03,14.506849,-28678.804433,AUD,-20743.379247,USD,0.0,0.0
Trade_1844,Swap,2036-06-02,20.505704,177314.173954,AUD,128251.342020,USD,128251.34202,128251.34202
Trade_3149,Swap,2037-06-01,21.501370,615204.504862,JPY,4992.367907,USD,4992.367907,4992.367907
Trade_5571,Swap,2023-06-01,7.501370,42885.149578,AUD,31018.828690,USD,31018.82869,31018.82869
Trade_9877,Swap,2027-06-01,11.501370,207566.126609,USD,207566.126609,USD,207566.126609,207566.126609
Trade_1744,Swap,2042-06-02,26.504110,-362871.609879,USD,-362871.609879,USD,0.0,0.0
Trade_4155,Swap,2030-06-03,14.506849,586061.391915,EUR,618968.739070,USD,618968.73907,618968.73907
Trade_6440,Swap,2023-06-01,7.501370,251720.877071,EUR,265855.004319,USD,265855.004319,265855.004319
Trade_8372,Swap,2045-06-01,29.501370,871157.755291,AUD,630108.404400,USD,630108.4044,630108.4044
Trade_1911,Swap,2026-06-01,10.501370,352903.434736,EUR,372718.962597,USD,372718.962597,372718.962597
Trade_9553,Swap,2039-06-01,23.501370,89458.147934,AUD,64705.078400,USD,64705.0784,64705.0784
Trade_1986,Swap,2036-06-02,20.505704,-193565.457425,AUD,-140005.895355,USD,0.0,0.0
Trade_3338,Swap,2029-06-01,13.501370,-32996.244667,USD,-32996.244667,USD,0.0,0.0
Trade_7053,Swap,2032-06-01,16.502972,257744.738230,GBP,387699.635246,USD,387699.635246,387699.635246
Trade_6632,Swap,2045-06-01,29.501370,187214.276682,AUD,135412.086324,USD,135412.086324,135412.086324
