#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2214294.10307,USD,4228696.46204
CUST_S,,,,,,-560160.855446,USD,4017284.68901
CUST_P,,,,,,578565.421081,USD,2265222.93686
CUST_Q,,,,,,-1786695.77631,USD,894202.780099
CUST_V,,,,,,2727256.80626,USD,5500661.37832
CUST_W,,,,,,305283.715705,USD,1733714.72472
CUST_T,,,,,,-1784813.81617,USD,2330188.19283
CUST_U,,,,,,-1476159.46561,USD,1028423.78982
CUST_Z,,,,,,4479534.24181,USD,5054057.64951
CUST_X,,,,,,2641257.82666,USD,3316974.63211
CUST_Y,,,,,,168540.584054,USD,1557807.2277
CUST_B,,,,,,939565.730645,USD,2190773.78208
CUST_C,,,,,,-300227.13429,USD,1658887.05172
CUST_A,,,,,,-161915.567329,USD,2692868.62183
CUST_F,,,,,,164704.885821,USD,2330510.12727
CUST_G,,,,,,-962086.647654,USD,2962460.15557
CUST_D,,,,,,-905668.274329,USD,2231293.93231
CUST_E,,,,,,3360479.83276,USD,5493076.62229
CUST_J,,,,,,-111535.504318,USD,2049037.92065
CUST_K,,,,,,395973.357873,USD,1648645.75827
CUST_H,,,,,,1760410.43176,USD,4037026.57686
CUST_I,,,,,,2147260.45227,USD,2970882.85619
CUST_N,,,,,,-1529999.54904,USD,1338217.55406
CUST_O,,,,,,2383155.16321,USD,3410027.35076
CUST_L,,,,,,-3327671.29595,USD,1402892.62865
CUST_M,,,,,,440877.106757,USD,1971306.58077
