#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-133658.787437,USD,978182.305692
CSA_41,,,,,,2534698.65985,USD,2539247.0419
CSA_42,,,,,,65809.303266,USD,109515.982109
CSA_43,,,,,,-97071.24477,USD,40924.485218
CSA_44,,,,,,138707.53632,USD,155970.110826
CSA_45,,,,,,-367528.53637,USD,242224.414814
CSA_46,,,,,,589601.729781,USD,738323.602067
CSA_47,,,,,,657537.529529,USD,964335.843438
CSA_48,,,,,,-961544.188558,USD,167311.133339
CSA_49,,,,,,-302018.1811,USD,215705.885381
CSA_59,,,,,,-429907.165361,USD,193.677303
CSA_58,,,,,,-724368.547236,USD,76761.189285
CSA_57,,,,,,-2724046.74361,USD,80036.804192
CSA_56,,,,,,877427.11966,USD,877427.11966
CSA_55,,,,,,706875.017249,USD,706875.017249
CSA_54,,,,,,203632.703062,USD,465137.960336
CSA_53,,,,,,132408.328678,USD,148279.747117
CSA_52,,,,,,217785.564384,USD,217785.564384
CSA_51,,,,,,-847583.296016,USD,100712.915679
CSA_50,,,,,,-215996.68149,USD,0.0
CSA_28,,,,,,540859.38541,USD,743811.297348
CSA_29,,,,,,-799982.071867,USD,183569.43849
CSA_22,,,,,,1385581.52583,USD,1450134.89735
CSA_23,,,,,,2051077.15884,USD,2051077.15884
CSA_20,,,,,,-504601.242639,USD,0.0
CSA_21,,,,,,-181814.383982,USD,60451.46558
CSA_26,,,,,,1357786.97142,USD,1388165.76706
CSA_27,,,,,,-500392.536877,USD,81973.478119
CSA_24,,,,,,-811109.675894,USD,440026.290534
CSA_25,,,,,,1021812.98798,USD,1656013.46629
CSA_39,,,,,,-611332.490527,USD,1563.889343
CSA_38,,,,,,2174111.54829,USD,2470707.16497
CSA_31,,,,,,162699.390752,USD,186219.142915
CSA_30,,,,,,-419143.126445,USD,34143.057041
CSA_33,,,,,,-880464.749097,USD,695256.57246
CSA_32,,,,,,-1170820.41507,USD,885369.864257
CSA_35,,,,,,694921.318195,USD,980177.740155
CSA_34,,,,,,358695.950268,USD,388396.972786
CSA_37,,,,,,567177.687059,USD,649036.350524
CSA_36,,,,,,-241226.649243,USD,29068.196579
CSA_119,,,,,,926293.63633,USD,933908.866626
CSA_118,,,,,,1153784.77497,USD,1157108.67371
CSA_113,,,,,,241125.617118,USD,241125.617118
CSA_112,,,,,,85719.047289,USD,239474.478672
CSA_111,,,,,,236380.114159,USD,578833.869681
CSA_110,,,,,,1699980.47963,USD,1699980.47963
CSA_117,,,,,,354437.98775,USD,398675.574984
CSA_116,,,,,,782058.778597,USD,860059.50747
CSA_115,,,,,,-679104.934423,USD,323673.675235
CSA_114,,,,,,351418.059149,USD,354073.477215
CSA_108,,,,,,-371370.209813,USD,78445.913197
CSA_109,,,,,,1076832.42784,USD,1258984.22823
CSA_100,,,,,,-799997.884411,USD,152690.651385
CSA_101,,,,,,-280195.884226,USD,2767.697534
CSA_102,,,,,,-325902.618756,USD,6617.82573
CSA_103,,,,,,687441.200569,USD,712265.143584
CSA_104,,,,,,86020.540824,USD,199323.000079
CSA_105,,,,,,-1591288.56886,USD,100702.968785
CSA_106,,,,,,-540718.145281,USD,614757.359798
CSA_107,,,,,,1054687.96198,USD,2061129.22152
CSA_13,,,,,,111838.182891,USD,209198.689349
CSA_12,,,,,,509384.434786,USD,512436.289022
CSA_11,,,,,,-613593.82938,USD,279299.632657
CSA_10,,,,,,-310402.927247,USD,254502.1162
CSA_17,,,,,,1379962.0378,USD,2065547.58043
CSA_16,,,,,,-845230.212796,USD,32864.397259
CSA_15,,,,,,-440650.982614,USD,1640.783973
CSA_14,,,,,,186455.668328,USD,722907.642325
CSA_19,,,,,,-337347.725106,USD,105587.78748
CSA_18,,,,,,-553098.497305,USD,38283.076322
CSA_130,,,,,,996327.833028,USD,1186196.17619
CSA_88,,,,,,801929.994382,USD,910356.474826
CSA_89,,,,,,-5809.535056,USD,1120135.7368
CSA_84,,,,,,-41466.686777,USD,229047.002342
CSA_85,,,,,,-1089369.82723,USD,0.0
CSA_86,,,,,,-376871.133492,USD,369114.530775
CSA_87,,,,,,863665.196965,USD,1053227.97718
CSA_80,,,,,,-171551.612842,USD,0.0
CSA_81,,,,,,-955787.071078,USD,299705.644
CSA_82,,,,,,261853.4865,USD,316293.626326
CSA_83,,,,,,-156041.594013,USD,12371.558759
CSA_66,,,,,,255820.670957,USD,567329.212987
CSA_67,,,,,,-245710.308714,USD,0.0
CSA_64,,,,,,-511408.430951,USD,83612.589289
CSA_65,,,,,,208982.855694,USD,231583.457043
CSA_62,,,,,,-229409.946495,USD,131687.273
CSA_63,,,,,,1262732.42108,USD,1519457.78456
CSA_60,,,,,,-484419.258983,USD,291820.65349
CSA_61,,,,,,-170612.904982,USD,56026.577702
CSA_68,,,,,,-229493.738394,USD,230654.883086
CSA_69,,,,,,23798.827079,USD,463456.350486
CSA_122,,,,,,-38145.752078,USD,130111.032335
CSA_123,,,,,,-34052.107004,USD,27721.336128
CSA_120,,,,,,-517637.605871,USD,38091.494545
CSA_121,,,,,,963808.49697,USD,979381.729274
CSA_126,,,,,,208292.358547,USD,396666.030049
CSA_127,,,,,,1194330.59703,USD,1194330.59703
CSA_124,,,,,,-157853.06806,USD,15575.173393
CSA_125,,,,,,-475302.495355,USD,504683.763486
CSA_128,,,,,,1820984.639,USD,1828968.11199
CSA_129,,,,,,314998.478637,USD,538287.315752
CSA_99,,,,,,-1870474.07624,USD,12451.250497
CSA_98,,,,,,-20931.553048,USD,540267.658331
CSA_93,,,,,,-15704.743662,USD,567634.12857
