#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2132585.21488,USD,4304293.80634
CUST_S,,,,,,-607352.970866,USD,4146740.07263
CUST_P,,,,,,724340.84859,USD,2372230.21226
CUST_Q,,,,,,-1980811.69259,USD,857417.831427
CUST_V,,,,,,2919412.51436,USD,5713297.20237
CUST_W,,,,,,235537.903292,USD,1737181.11792
CUST_T,,,,,,-1873722.73447,USD,2396504.80628
CUST_U,,,,,,-1423925.33045,USD,1021676.63571
CUST_Z,,,,,,4534933.90624,USD,5144448.231
CUST_X,,,,,,2698937.57177,USD,3387844.11733
CUST_Y,,,,,,258455.074473,USD,1657473.03462
CUST_B,,,,,,998964.462238,USD,2203193.18908
CUST_C,,,,,,-246566.525989,USD,1725483.03733
CUST_A,,,,,,-191433.08747,USD,2709114.59516
CUST_F,,,,,,179128.621645,USD,2431663.03806
CUST_G,,,,,,-834968.504954,USD,3135420.29257
CUST_D,,,,,,-860315.640044,USD,2242282.84149
CUST_E,,,,,,3465547.61277,USD,5657703.27859
CUST_J,,,,,,-232419.791838,USD,2085676.46423
CUST_K,,,,,,413118.317357,USD,1638791.20477
CUST_H,,,,,,1755071.30815,USD,4128557.90711
CUST_I,,,,,,2274615.71829,USD,3087882.03487
CUST_N,,,,,,-1472078.1217,USD,1342071.25866
CUST_O,,,,,,2440619.91268,USD,3496612.76562
CUST_L,,,,,,-3485314.59553,USD,1326239.44393
CUST_M,,,,,,560283.994346,USD,2022367.68159
