#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,158788.08,58437.11,-245722.1,-87537.18,0.0,0.0,158788.08,58437.11,None,58437.11,1627896.6
,CUST_S,128882.995,122664.51,-192630.358,-189311.65,0.0,0.0,128882.995,122664.51,None,122664.51,1326763.4
,CUST_P,123649.777,76537.95,-187983.613,-114635.03,0.0,0.0,123649.777,76537.95,None,76537.95,1262569.74
,CUST_Q,34675.8277,134443.1,-52052.7181,-207844.33,0.0,0.0,34675.8277,134443.1,None,134443.1,355327.415
,CUST_V,228171.5,73757.916,-355152.21,-111424.24,0.0,0.0,228171.5,73757.916,None,73757.916,2288588.7
,CUST_W,90415.99,76810.6,-136301.0,-114879.03,0.0,0.0,90415.99,76810.6,None,76810.6,953068.6
,CUST_T,136780.33,209129.87,-205031.27,-322972.18,0.0,0.0,136780.33,209129.87,None,209129.87,1409803.6
,CUST_U,44976.59,141100.979,-70149.02,-219359.776,0.0,0.0,44976.59,141100.979,None,141100.979,449554.2
,CUST_Z,279196.1,18924.28,-433549.7,-26390.48,0.0,0.0,279196.1,18924.28,None,18924.28,2803243.0
,CUST_X,179532.45,65979.98,-280295.19,-97529.56,0.0,0.0,179532.45,65979.98,None,65979.98,1797777.1
,CUST_Y,44113.696,54094.99,-70904.444,-81460.83,0.0,0.0,44113.696,54094.99,None,54094.99,498781.95
,CUST_B,90076.57,65297.881,-137884.38,-94978.517,0.0,0.0,90076.57,65297.881,None,65297.881,916294.9
,CUST_C,76658.571,102870.38,-117107.968,-154894.03,0.0,0.0,76658.571,102870.38,None,102870.38,778040.99
,CUST_A,108577.14,126448.45,-170385.91,-196488.481,0.0,0.0,108577.14,126448.45,None,126448.45,1086158.2
,CUST_F,121920.1,116393.17,-186076.67,-177560.37,0.0,0.0,121920.1,116393.17,None,116393.17,1244229.7
,CUST_G,85514.72,147799.8563,-133525.0,-225954.67799,0.0,0.0,85514.72,147799.8563,None,147799.8563,875957.0
,CUST_D,128393.838,111881.4754,-191990.737,-179905.1833,0.0,0.0,128393.838,111881.4754,None,111881.4754,1330018.67
,CUST_E,262617.53,82712.251,-405944.0,-125041.08,0.0,0.0,262617.53,82712.251,None,82712.251,2649602.3
,CUST_J,100040.07,98114.3992,-152777.93,-151949.3968,0.0,0.0,100040.07,98114.3992,None,98114.3992,1017138.0
,CUST_K,78564.12,61761.54,-122698.8,-95015.48,0.0,0.0,78564.12,61761.54,None,61761.54,790875.3
,CUST_H,165892.22,60761.124,-259158.59,-94577.071,0.0,0.0,165892.22,60761.124,None,60761.124,1661753.17
,CUST_I,167966.147,27964.68,-260187.87,-44690.89,0.0,0.0,167966.147,27964.68,None,27964.68,1752675.7
,CUST_N,36752.43,110946.42,-55192.96,-172963.98,0.0,0.0,36752.43,110946.42,None,110946.42,377602.9
,CUST_O,158637.355,38678.4,-249712.96,-59199.34,0.0,0.0,158637.355,38678.4,None,38678.4,1587562.26
,CUST_L,69655.9367,299461.06,-105628.7376,-458762.39,0.0,0.0,69655.9367,299461.06,None,299461.06,711388.571
,CUST_M,82468.424,43423.45,-129601.071,-67820.31,0.0,0.0,82468.424,43423.45,None,43423.45,825338.69
