#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2226666.17528,USD,4282718.42053
CUST_S,,,,,,-565550.409314,USD,4055691.72223
CUST_P,,,,,,597243.019813,USD,2304192.30872
CUST_Q,,,,,,-1846685.47221,USD,891511.914246
CUST_V,,,,,,2778528.68929,USD,5569337.45597
CUST_W,,,,,,297691.142773,USD,1750267.26844
CUST_T,,,,,,-1832474.05224,USD,2345769.09586
CUST_U,,,,,,-1480638.33133,USD,1034298.37272
CUST_Z,,,,,,4534722.15074,USD,5125250.82269
CUST_X,,,,,,2654629.92882,USD,3336289.97495
CUST_Y,,,,,,191447.372919,USD,1592410.00907
CUST_B,,,,,,981603.325259,USD,2219944.72994
CUST_C,,,,,,-304868.06099,USD,1673531.41921
CUST_A,,,,,,-151971.312185,USD,2727951.51597
CUST_F,,,,,,164582.739711,USD,2364060.1126
CUST_G,,,,,,-954068.209222,USD,2998951.75383
CUST_D,,,,,,-900088.680792,USD,2242847.29434
CUST_E,,,,,,3415503.67548,USD,5585124.55705
CUST_J,,,,,,-150106.061525,USD,2065430.23923
CUST_K,,,,,,377758.110629,USD,1651981.21705
CUST_H,,,,,,1783067.88899,USD,4088613.14107
CUST_I,,,,,,2189467.32523,USD,3020835.76926
CUST_N,,,,,,-1525456.1081,USD,1361024.61087
CUST_O,,,,,,2436842.66342,USD,3472642.73138
CUST_L,,,,,,-3370416.37058,USD,1392012.52875
CUST_M,,,,,,478371.534933,USD,2005666.64836
