#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,162748.32,56054.42,-249581.0,-83254.36,0.0,0.0,162748.32,56054.42,None,56054.42,1673871.3
,CUST_S,126338.089,118292.08,-187427.881,-180577.55,0.0,0.0,126338.089,118292.08,None,118292.08,1305021.57
,CUST_P,120707.308,81165.51,-181843.528,-121125.05,0.0,0.0,120707.308,81165.51,None,81165.51,1237877.98
,CUST_Q,36691.778,127301.99,-54612.625,-194979.16,0.0,0.0,36691.778,127301.99,None,127301.99,377503.883
,CUST_V,220200.49,75492.525,-339359.81,-113309.504,0.0,0.0,220200.49,75492.525,None,75492.525,2214966.1
,CUST_W,91808.33,74107.84,-137363.1,-109809.87,0.0,0.0,91808.33,74107.84,None,74107.84,971806.7
,CUST_T,134340.62,204294.19,-199735.36,-312456.81,0.0,0.0,134340.62,204294.19,None,204294.19,1390303.6
,CUST_U,44199.25,143107.565,-68296.17,-220479.168,0.0,0.0,44199.25,143107.565,None,143107.565,442785.1
,CUST_Z,278616.3,18527.601,-428295.9,-25743.51,0.0,0.0,278616.3,18527.601,None,18527.601,2806070.0
,CUST_X,177149.08,65305.08,-273281.43,-95969.86,0.0,0.0,177149.08,65305.08,None,65305.08,1781395.9
,CUST_Y,41492.089,55760.49,-65850.399,-83279.98,0.0,0.0,41492.089,55760.49,None,55760.49,470239.78
,CUST_B,90298.26,66022.989,-137029.71,-95670.725,0.0,0.0,90298.26,66022.989,None,66022.989,921331.3
,CUST_C,74037.449,102671.17,-111871.814,-153631.89,0.0,0.0,74037.449,102671.17,None,102671.17,755198.53
,CUST_A,108048.96,123884.537,-167953.57,-190483.77,0.0,0.0,108048.96,123884.537,None,123884.537,1083053.0
,CUST_F,117833.63,113195.28,-177892.61,-170993.62,0.0,0.0,117833.63,113195.28,None,113195.28,1208536.7
,CUST_G,81441.33,151177.82562,-125840.95,-229229.12141,0.0,0.0,81441.33,151177.82562,None,151177.82562,837555.9
,CUST_D,128314.225,114527.4016,-190762.496,-181919.6918,0.0,0.0,128314.225,114527.4016,None,114527.4016,1333445.07
,CUST_E,258273.6,81429.42,-395110.8,-121817.22,0.0,0.0,258273.6,81429.42,None,81429.42,2615646.8
,CUST_J,102139.16,94223.9382,-154644.33,-144537.2793,0.0,0.0,102139.16,94223.9382,None,94223.9382,1041479.4
,CUST_K,79025.1,64629.19,-122178.93,-98657.56,0.0,0.0,79025.1,64629.19,None,64629.19,797574.6
,CUST_H,166428.174,59098.184,-257331.198,-91203.94,0.0,0.0,166428.174,59098.184,None,59098.184,1672002.56
,CUST_I,163016.937,28919.77,-250052.78,-45539.04,0.0,0.0,163016.937,28919.77,None,28919.77,1712853.04
,CUST_N,36612.936,114028.54,-54675.65,-176077.47,0.0,0.0,36612.936,114028.54,None,114028.54,376892.9
,CUST_O,157990.093,37685.51,-246003.02,-57169.75,0.0,0.0,157990.093,37685.51,None,37685.51,1586344.8
,CUST_L,72979.2226,293920.49,-109806.9414,-446389.77,0.0,0.0,72979.2226,293920.49,None,293920.49,747646.348
,CUST_M,79079.459,44899.31,-122829.621,-69320.98,0.0,0.0,79079.459,44899.31,None,44899.31,793722.85
