#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2688006.99768,USD,4223839.71474
CUST_S,,,,,,-219947.902469,USD,3601888.29174
CUST_P,,,,,,-508407.614412,USD,1767570.70222
CUST_Q,,,,,,-777945.879776,USD,1232622.25514
CUST_V,,,,,,1771259.10874,USD,4206407.02769
CUST_W,,,,,,585115.76527,USD,2207409.37956
CUST_T,,,,,,-1394823.23213,USD,2029754.908
CUST_U,,,,,,-1872686.22367,USD,1175954.06885
CUST_Z,,,,,,4331191.33365,USD,4842097.14912
CUST_X,,,,,,2102986.49503,USD,3261457.11805
CUST_Y,,,,,,-199855.594351,USD,1049254.07876
CUST_B,,,,,,496847.451919,USD,2274691.84223
CUST_C,,,,,,-821733.658944,USD,1369686.67336
CUST_A,,,,,,367153.958584,USD,2726162.87685
CUST_F,,,,,,1779.366328,USD,1892053.14119
CUST_G,,,,,,-1895273.51681,USD,2586448.06476
CUST_D,,,,,,-1259603.1478,USD,2424167.19803
CUST_E,,,,,,2750396.94456,USD,4856871.83529
CUST_J,,,,,,622612.000436,USD,2184460.11983
CUST_K,,,,,,159582.555837,USD,2076618.38627
CUST_H,,,,,,1696886.42565,USD,3518334.23484
CUST_I,,,,,,1313676.03911,USD,2486063.49085
CUST_N,,,,,,-2132426.42629,USD,1562016.35346
CUST_O,,,,,,2171259.35406,USD,3267793.46846
CUST_L,,,,,,-2457508.49569,USD,2204236.31591
CUST_M,,,,,,-110242.336181,USD,1834023.96112
