#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2592341.40079,USD,4383740.29959
CUST_S,,,,,,-446700.648128,USD,3839729.11901
CUST_P,,,,,,185198.622133,USD,2123428.26125
CUST_Q,,,,,,-1513349.8837,USD,990921.848143
CUST_V,,,,,,2534639.06293,USD,5255752.93824
CUST_W,,,,,,374907.390503,USD,1917526.88246
CUST_T,,,,,,-1715801.93556,USD,2280893.53104
CUST_U,,,,,,-1665600.8738,USD,1105685.74486
CUST_Z,,,,,,4386591.22144,USD,5027627.81875
CUST_X,,,,,,2587679.42107,USD,3480233.53035
CUST_Y,,,,,,32264.338924,USD,1419295.73797
CUST_B,,,,,,903189.591399,USD,2428439.94008
CUST_C,,,,,,-548783.310568,USD,1467927.88694
CUST_A,,,,,,124017.902572,USD,2831150.44264
CUST_F,,,,,,60115.591228,USD,2105886.25425
CUST_G,,,,,,-1428521.17202,USD,2743547.29152
CUST_D,,,,,,-1114832.86776,USD,2327788.10112
CUST_E,,,,,,3285164.78771,USD,5426870.26649
CUST_J,,,,,,165407.115013,USD,2003267.64597
CUST_K,,,,,,197651.310001,USD,1803005.67785
CUST_H,,,,,,1842579.57245,USD,3998895.5585
CUST_I,,,,,,1828974.4262,USD,2812208.46819
CUST_N,,,,,,-1771535.35495,USD,1495291.98676
CUST_O,,,,,,2378277.3363,USD,3426941.48142
CUST_L,,,,,,-3143143.83406,USD,1684930.21871
CUST_M,,,,,,154823.50894,USD,1915074.57408
