Limits,NPV,CE,EEPE,Total Exposure,ColVA,CVA,DVA,FCA,FBA,FVA,IM
CUST_A,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_B,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_C,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_D,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_E,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_F,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_G,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_H,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_I,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_J,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_K,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_L,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_M,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_N,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_O,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_P,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_Q,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_R,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_S,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_T,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_U,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_V,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_W,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_X,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_Y,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
CUST_Z,N/A,5000000,2500000,N/A,N/A,200000,200000,-400000,-400000,-800000,N/A
