Limits,NPV,CE,EEPE,Total Exposure,ColVA,CVA,DVA,FCA,FBA,FVA,IM
CSA_1,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_2,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_3,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_4,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_5,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_6,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_7,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_8,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_9,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_10,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_11,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_12,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_13,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_14,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_15,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_16,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_17,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_18,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_19,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_20,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_21,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_22,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_23,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_24,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_25,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_26,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_27,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_28,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_29,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_30,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_31,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_32,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_33,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_34,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_35,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_36,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_37,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_38,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_39,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_40,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_41,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_42,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_43,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_44,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_45,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_46,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_47,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_48,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_49,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_50,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_51,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_52,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_53,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_54,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_55,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_56,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_57,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_58,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_59,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_60,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_61,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_62,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_63,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_64,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_65,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_66,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_67,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_68,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_69,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
CSA_70,N/A,2500000,1250000,N/A,N/A,100000,100000,-200000,-200000,-400000,N/A
