#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2508087.48781,USD,4263691.86981
CUST_S,,,,,,-476217.606964,USD,3771846.46087
CUST_P,,,,,,247226.680353,USD,2108420.059
CUST_Q,,,,,,-1407231.75998,USD,1013103.10297
CUST_V,,,,,,2467595.80227,USD,5214670.56951
CUST_W,,,,,,399208.236941,USD,1888198.40059
CUST_T,,,,,,-1676460.24668,USD,2315379.51506
CUST_U,,,,,,-1636260.90416,USD,1134765.10564
CUST_Z,,,,,,4374382.37545,USD,4972546.25127
CUST_X,,,,,,2618739.78292,USD,3450689.93009
CUST_Y,,,,,,10395.924463,USD,1421962.31886
CUST_B,,,,,,841106.066421,USD,2306874.39911
CUST_C,,,,,,-503206.148284,USD,1493936.34196
CUST_A,,,,,,-8115.439757,USD,2787451.53167
CUST_F,,,,,,101944.299811,USD,2128569.81118
CUST_G,,,,,,-1295910.59555,USD,2717629.38247
CUST_D,,,,,,-1150070.11105,USD,2243078.49005
CUST_E,,,,,,3242325.42671,USD,5350962.67832
CUST_J,,,,,,158161.409386,USD,2031938.57614
CUST_K,,,,,,319992.63066,USD,1812941.43325
CUST_H,,,,,,1852806.59534,USD,3969911.21068
CUST_I,,,,,,1857862.94269,USD,2810808.67158
CUST_N,,,,,,-1731525.96094,USD,1409672.12337
CUST_O,,,,,,2365386.02758,USD,3376126.17733
CUST_L,,,,,,-3065780.61681,USD,1711308.6666
CUST_M,,,,,,146795.501578,USD,1940147.45509
