#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,162744.7,56053.91,-249578.8,-83254.08,0.0,0.0,162744.7,56053.91,None,56053.91,1673925.2
,CUST_S,126328.185,118285.91,-187417.712,-180572.93,0.0,0.0,126328.185,118285.91,None,118285.91,1304819.47
,CUST_P,120676.232,81160.77,-181800.048,-121119.53,0.0,0.0,120676.232,81160.77,None,81160.77,1237755.88
,CUST_Q,36692.4615,127274.15,-54612.965,-194944.02,0.0,0.0,36692.4615,127274.15,None,127274.15,377522.634
,CUST_V,220173.62,75483.227,-339326.04,-113298.473,0.0,0.0,220173.62,75483.227,None,75483.227,2215255.9
,CUST_W,91797.25,74097.68,-137349.3,-109795.79,0.0,0.0,91797.25,74097.68,None,74097.68,971632.3
,CUST_T,134328.53,204280.45,-199720.85,-312442.54,0.0,0.0,134328.53,204280.45,None,204280.45,1390249.9
,CUST_U,44204.61,143112.111,-68304.07,-220488.033,0.0,0.0,44204.61,143112.111,None,143112.111,442859.0
,CUST_Z,278611.7,18520.71,-428296.6,-25733.0,0.0,0.0,278611.7,18520.71,None,18520.71,2805987.0
,CUST_X,177122.85,65290.92,-273248.47,-95951.26,0.0,0.0,177122.85,65290.92,None,65290.92,1781402.0
,CUST_Y,41483.99,55762.25,-65840.152,-83282.65,0.0,0.0,41483.99,55762.25,None,55762.25,470287.62
,CUST_B,90307.75,66031.544,-137043.57,-95682.668,0.0,0.0,90307.75,66031.544,None,66031.544,921493.9
,CUST_C,74044.954,102666.52,-111882.99,-153627.06,0.0,0.0,74044.954,102666.52,None,102666.52,755283.01
,CUST_A,108044.57,123879.567,-167948.92,-190478.997,0.0,0.0,108044.57,123879.567,None,123879.567,1083060.6
,CUST_F,117810.87,113171.88,-177863.59,-170964.13,0.0,0.0,117810.87,113171.88,None,113171.88,1208325.8
,CUST_G,81430.84,151177.08199,-125828.33,-229232.43603,0.0,0.0,81430.84,151177.08199,None,151177.08199,837463.1
,CUST_D,128317.381,114529.0146,-190770.7,-181925.9284,0.0,0.0,128317.381,114529.0146,None,114529.0146,1333417.13
,CUST_E,258223.18,81409.13,-395044.9,-121787.94,0.0,0.0,258223.18,81409.13,None,81409.13,2615210.6
,CUST_J,102139.77,94202.858,-154645.45,-144510.7242,0.0,0.0,102139.77,94202.858,None,94202.858,1041593.4
,CUST_K,79023.22,64630.7,-122178.97,-98660.69,0.0,0.0,79023.22,64630.7,None,64630.7,797550.7
,CUST_H,166400.055,59085.355,-257294.371,-91187.636,0.0,0.0,166400.055,59085.355,None,59085.355,1671958.94
,CUST_I,162997.399,28923.2,-250027.35,-45543.3,0.0,0.0,162997.399,28923.2,None,28923.2,1712861.87
,CUST_N,36609.189,114032.12,-54671.34,-176086.64,0.0,0.0,36609.189,114032.12,None,114032.12,376879.2
,CUST_O,157980.772,37685.22,-245994.79,-57171.04,0.0,0.0,157980.772,37685.22,None,37685.22,1586316.6
,CUST_L,72985.1252,293883.52,-109817.7538,-446345.49,0.0,0.0,72985.1252,293883.52,None,293883.52,747622.605
,CUST_M,79067.573,44892.57,-122815.128,-69314.1,0.0,0.0,79067.573,44892.57,None,44892.57,793531.87
