#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2226640.54209,USD,4282732.11597
CUST_S,,,,,,-565559.21301,USD,4055754.85559
CUST_P,,,,,,597235.532369,USD,2304191.20543
CUST_Q,,,,,,-1846676.00757,USD,891538.492683
CUST_V,,,,,,2778565.06833,USD,5569411.86251
CUST_W,,,,,,297727.758152,USD,1750311.19179
CUST_T,,,,,,-1832500.33168,USD,2345796.96436
CUST_U,,,,,,-1480645.46966,USD,1034344.19079
CUST_Z,,,,,,4534874.0549,USD,5125416.59391
CUST_X,,,,,,2654683.01682,USD,3336343.06942
CUST_Y,,,,,,191416.561736,USD,1592415.89937
CUST_B,,,,,,981639.212663,USD,2220005.17493
CUST_C,,,,,,-304872.930205,USD,1673551.93445
CUST_A,,,,,,-152035.863852,USD,2727965.61862
CUST_F,,,,,,164580.790347,USD,2364074.46629
CUST_G,,,,,,-954083.060822,USD,2998998.43732
CUST_D,,,,,,-900090.768285,USD,2242879.86929
CUST_E,,,,,,3415482.88808,USD,5585090.56492
CUST_J,,,,,,-150086.465944,USD,2065457.41929
CUST_K,,,,,,377792.503882,USD,1652018.28971
CUST_H,,,,,,1783041.00343,USD,4088632.11684
CUST_I,,,,,,2189468.53023,USD,3020839.86976
CUST_N,,,,,,-1525519.88028,USD,1361039.95414
CUST_O,,,,,,2436850.73359,USD,3472675.60703
CUST_L,,,,,,-3370428.58891,USD,1392054.10768
CUST_M,,,,,,478345.664289,USD,2005673.37654
