#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,164412.25,56548.14,-251004.8,-84474.56,0.0,0.0,164412.25,56548.14,None,56548.14,1703624.0
,CUST_S,123033.02,112948.77,-183363.461,-171374.95,0.0,0.0,123033.02,112948.77,None,112948.77,1280961.55
,CUST_P,116930.667,87010.52,-176265.411,-130742.09,0.0,0.0,116930.667,87010.52,None,87010.52,1210322.16
,CUST_Q,39900.8648,117793.24,-59611.766,-179817.58,0.0,0.0,39900.8648,117793.24,None,117793.24,413532.39
,CUST_V,207693.63,75331.417,-318045.1,-113417.325,0.0,0.0,207693.63,75331.417,None,75331.417,2103956.8
,CUST_W,91475.15,73570.21,-137444.2,-109448.61,0.0,0.0,91475.15,73570.21,None,73570.21,977889.2
,CUST_T,131731.39,194733.02,-196650.57,-296598.6,0.0,0.0,131731.39,194733.02,None,194733.02,1376528.6
,CUST_U,43291.73,143245.643,-66372.19,-219410.136,0.0,0.0,43291.73,143245.643,None,143245.643,436474.2
,CUST_Z,275851.5,18697.5,-421396.9,-26715.0,0.0,0.0,275851.5,18697.5,None,18697.5,2798289.0
,CUST_X,173175.15,65412.46,-264979.15,-97039.4,0.0,0.0,173175.15,65412.46,None,65412.46,1757054.3
,CUST_Y,38105.133,56772.17,-59464.936,-85100.04,0.0,0.0,38105.133,56772.17,None,56772.17,434404.68
,CUST_B,89376.57,70115.203,-135402.94,-103213.791,0.0,0.0,89376.57,70115.203,None,70115.203,919561.2
,CUST_C,70571.981,101140.91,-106342.841,-152077.32,0.0,0.0,70571.981,101140.91,None,101140.91,727367.68
,CUST_A,107660.68,118998.34,-165866.22,-181922.267,0.0,0.0,107660.68,118998.34,None,118998.34,1086764.5
,CUST_F,111335.89,109240.66,-167860.62,-164984.9,0.0,0.0,111335.89,109240.66,None,109240.66,1153393.8
,CUST_G,77383.91,156062.3802,-118710.05,-236531.5265,0.0,0.0,77383.91,156062.3802,None,156062.3802,801038.5
,CUST_D,128064.347,118580.74,-191750.545,-185339.2499,0.0,0.0,128064.347,118580.74,None,118580.74,1341493.2
,CUST_E,246259.68,78804.6,-374719.4,-117661.15,0.0,0.0,246259.68,78804.6,None,78804.6,2515551.0
,CUST_J,104671.43,87833.9926,-158407.26,-134135.1979,0.0,0.0,104671.43,87833.9926,None,87833.9926,1074924.2
,CUST_K,79811.48,68495.26,-122614.32,-104319.56,0.0,0.0,79811.48,68495.26,None,68495.26,809763.6
,CUST_H,164108.235,57613.249,-251944.275,-88615.562,0.0,0.0,164108.235,57613.249,None,57613.249,1660320.06
,CUST_I,152622.929,31435.23,-232982.47,-48582.61,0.0,0.0,152622.929,31435.23,None,31435.23,1625018.6
,CUST_N,35934.672,117592.27,-53897.62,-180348.34,0.0,0.0,35934.672,117592.27,None,117592.27,373185.5
,CUST_O,151434.39,37637.32,-233755.08,-56883.12,0.0,0.0,151434.39,37637.32,None,37637.32,1532275.3
,CUST_L,77880.7622,287319.46,-117423.0344,-436060.46,0.0,0.0,77880.7622,287319.46,None,287319.46,803518.683
,CUST_M,73175.839,46266.42,-112320.941,-70744.99,0.0,0.0,73175.839,46266.42,None,46266.42,739504.68
