#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base),x
Trade_6531,Swap,2020-06-01,3.931694,4548.419296,EUR,5057.159995,USD,5057.159995,5057.159995
Trade_1418,Swap,2035-06-01,18.930092,-159169.297482,USD,-159169.297482,USD,0.0,0.0
Trade_4055,Swap,2026-06-01,9.930092,-608291.567568,EUR,-676328.979400,USD,0.0,0.0
Trade_6405,Swap,2039-06-01,22.930092,368111.866996,JPY,3602.053594,USD,3602.053594,3602.053594
Trade_1589,Swap,2023-06-01,6.930092,-5846.982825,GBP,-8001.011298,USD,0.0,0.0
Trade_7633,Swap,2024-06-03,7.937158,-4931.499661,USD,-4931.499661,USD,0.0,0.0
Trade_4320,Swap,2045-06-01,28.930092,809756.335976,GBP,1108070.570149,USD,1108070.57015,1108070.57015
Trade_6494,Swap,2025-06-02,8.932832,-178844.002508,GBP,-244730.133032,USD,0.0,0.0
Trade_8826,Swap,2033-06-01,16.930092,-340519.184339,EUR,-378606.255108,USD,0.0,0.0
Trade_1681,Swap,2045-06-01,28.930092,717853.642931,GBP,982310.924986,USD,982310.924986,982310.924986
Trade_5828,Swap,2033-06-01,16.930092,31956.188034,USD,31956.188034,USD,31956.188034,31956.188034
Trade_6164,Swap,2029-06-01,12.930092,-42968.547116,EUR,-47774.579111,USD,0.0,0.0
Trade_5341,Swap,2019-06-03,2.935572,42114.680984,JPY,412.101189,USD,412.101189,412.101189
Trade_9730,Swap,2032-06-01,15.931694,-399244.488975,GBP,-546326.158713,USD,0.0,0.0
Trade_9500,Swap,2034-06-01,17.930092,-8184.252442,EUR,-9099.661077,USD,0.0,0.0
Trade_9435,Swap,2039-06-01,22.930092,-26452.845849,AUD,-19778.792842,USD,0.0,0.0
Trade_3147,Swap,2040-06-01,23.931694,-172200.798731,USD,-172200.798731,USD,0.0,0.0
Trade_7753,Swap,2039-06-01,22.930092,-308373.770428,AUD,-230571.068150,USD,0.0,0.0
Trade_5617,Swap,2034-06-01,17.930092,107631.461749,EUR,119670.040746,USD,119670.040746,119670.040746
Trade_7936,Swap,2034-06-01,17.930092,-140639.142857,USD,-140639.142857,USD,0.0,0.0
Trade_7577,Swap,2026-06-01,9.930092,-39044.461822,GBP,-53428.441558,USD,0.0,0.0
Trade_9119,Swap,2043-06-01,26.930092,-37510.561321,GBP,-51329.452112,USD,0.0,0.0
Trade_3312,Swap,2029-06-01,12.930092,-37465.649817,JPY,-366.609421,USD,0.0,0.0
Trade_1221,Swap,2033-06-01,16.930092,-159605.307480,GBP,-218403.902756,USD,0.0,0.0
Trade_7292,Swap,2026-06-01,9.930092,-174605.042409,GBP,-238929.540033,USD,0.0,0.0
Trade_3223,Swap,2028-06-01,11.931694,-31204.091065,JPY,-305.338726,USD,0.0,0.0
Trade_5477,Swap,2033-06-01,16.930092,26820.940408,AUD,20054.017143,USD,20054.017143,20054.017143
Trade_4786,Swap,2024-06-03,7.937158,-3392.607205,USD,-3392.607205,USD,0.0,0.0
Trade_4970,Swap,2032-06-01,15.931694,560736.931846,JPY,5486.931179,USD,5486.931179,5486.931179
Trade_5849,Swap,2026-06-01,9.930092,-404411.425503,GBP,-553396.594659,USD,0.0,0.0
Trade_5519,Swap,2023-06-01,6.930092,-48772.747375,GBP,-66740.627507,USD,0.0,0.0
Trade_6483,Swap,2036-06-02,19.934426,14990.585390,EUR,16667.282365,USD,16667.282365,16667.282365
