#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2260898.2907,USD,4147202.92477
CUST_S,,,,,,-493302.285707,USD,3877643.14484
CUST_P,,,,,,421739.552223,USD,2153473.1445
CUST_Q,,,,,,-1660567.43029,USD,924822.330798
CUST_V,,,,,,2588162.99862,USD,5296838.66693
CUST_W,,,,,,326122.930039,USD,1730174.24673
CUST_T,,,,,,-1720738.15168,USD,2258666.2015
CUST_U,,,,,,-1523238.82894,USD,1029622.03465
CUST_Z,,,,,,4483587.97075,USD,5054834.61405
CUST_X,,,,,,2540830.26458,USD,3271143.36788
CUST_Y,,,,,,112757.98154,USD,1466400.7793
CUST_B,,,,,,888620.116677,USD,2225622.60795
CUST_C,,,,,,-384473.537377,USD,1572833.77294
CUST_A,,,,,,-68798.365716,USD,2680454.47291
CUST_F,,,,,,129193.730948,USD,2219288.9685
CUST_G,,,,,,-1110056.82553,USD,2772682.46286
CUST_D,,,,,,-949536.284649,USD,2251079.03869
CUST_E,,,,,,3264403.56313,USD,5353218.95373
CUST_J,,,,,,-14601.383473,USD,1998990.80411
CUST_K,,,,,,327037.387024,USD,1668058.10108
CUST_H,,,,,,1763429.28464,USD,3957695.95681
CUST_I,,,,,,2009456.55984,USD,2862993.48453
CUST_N,,,,,,-1613009.73745,USD,1379199.87729
CUST_O,,,,,,2339525.53878,USD,3369713.41108
CUST_L,,,,,,-3228170.56716,USD,1497272.43139
CUST_M,,,,,,364529.521421,USD,1938559.78055
