#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,169881.39,51614.05,-283147.9,-83315.16,0.0,0.0,169881.39,51614.05,None,51614.05,1790737.8
,CUST_S,111842.132,97749.21,-178566.077,-159775.45,0.0,0.0,111842.132,97749.21,None,97749.21,1200319.6
,CUST_P,99544.157,101505.77,-160593.239,-166017.26,0.0,0.0,99544.157,101505.77,None,101505.77,1064224.66
,CUST_Q,51238.1232,85511.305,-82613.188,-139971.26,0.0,0.0,51238.1232,85511.305,None,85511.305,545438.956
,CUST_V,177114.76,76135.014,-294545.22,-123934.652,0.0,0.0,177114.76,76135.014,None,76135.014,1845234.4
,CUST_W,87717.58,72321.919,-142162.9,-114368.19,0.0,0.0,87717.58,72321.919,None,72321.919,965281.0
,CUST_T,119137.3,172935.69,-189526.01,-283658.25,0.0,0.0,119137.3,172935.69,None,172935.69,1285325.9
,CUST_U,44424.6,149075.914,-74364.42,-249778.89,0.0,0.0,44424.6,149075.914,None,149075.914,458297.5
,CUST_Z,271002.0,16806.385,-449626.8,-25240.87,0.0,0.0,271002.0,16806.385,None,16806.385,2825624.0
,CUST_X,160754.08,62214.05,-264928.68,-99003.59,0.0,0.0,160754.08,62214.05,None,62214.05,1686868.0
,CUST_Y,29893.697,59368.08,-51197.887,-94900.06,0.0,0.0,29893.697,59368.08,None,59368.08,341827.72
,CUST_B,86344.64,78424.8437,-140450.26,-123272.133,0.0,0.0,86344.64,78424.8437,None,78424.8437,915391.7
,CUST_C,61977.073,96349.07,-98983.733,-156161.0,0.0,0.0,61977.073,96349.07,None,96349.07,666341.89
,CUST_A,104130.18,110941.249,-176559.06,-183684.43,0.0,0.0,104130.18,110941.249,None,110941.249,1071982.9
,CUST_F,94344.84,97289.7,-151174.3,-156477.8,0.0,0.0,94344.84,97289.7,None,97289.7,1012469.1
,CUST_G,64529.79,164552.89817,-108827.12,-270280.83313,0.0,0.0,64529.79,164552.89817,None,164552.89817,684089.4
,CUST_D,126303.884,133137.47411,-201855.472,-230671.8622,0.0,0.0,126303.884,133137.47411,None,133137.47411,1361161.7
,CUST_E,218826.2,75196.31,-358726.1,-119604.01,0.0,0.0,218826.2,75196.31,None,75196.31,2305048.0
,CUST_J,112448.94,70314.5624,-183565.1,-116563.1916,0.0,0.0,112448.94,70314.5624,None,70314.5624,1189556.8
,CUST_K,86227.64,76425.826,-145552.2,-126140.26,0.0,0.0,86227.64,76425.826,None,76425.826,890404.3
,CUST_H,156445.681,54358.291,-262362.197,-90658.96,0.0,0.0,156445.681,54358.291,None,54358.291,1620018.31
,CUST_I,126616.084,38546.585,-209136.699,-65886.99,0.0,0.0,126616.084,38546.585,None,38546.585,1403755.48
,CUST_N,32267.139,131251.22,-52406.357,-221258.18,0.0,0.0,32267.139,131251.22,None,131251.22,342795.86
,CUST_O,142097.39,36527.98,-238747.07,-58039.49,0.0,0.0,142097.39,36527.98,None,36527.98,1471792.0
,CUST_L,89957.60222,255690.54,-146567.30049,-419003.18,0.0,0.0,89957.60222,255690.54,None,255690.54,952289.2673
,CUST_M,61355.295,53510.37,-103275.361,-89519.88,0.0,0.0,61355.295,53510.37,None,53510.37,630509.59
