#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2509081.96458,USD,4116255.72327
CUST_S,,,,,,-355124.193339,USD,3583298.94499
CUST_P,,,,,,-48040.592998,USD,1896830.33731
CUST_Q,,,,,,-1059627.56108,USD,1100934.93657
CUST_V,,,,,,2168727.94159,USD,4738089.48213
CUST_W,,,,,,401845.605565,USD,1971109.25903
CUST_T,,,,,,-1538609.36019,USD,2165728.56626
CUST_U,,,,,,-1713649.34482,USD,1135667.4978
CUST_Z,,,,,,4308130.66503,USD,4864610.30929
CUST_X,,,,,,2393816.59364,USD,3335382.20111
CUST_Y,,,,,,-96830.296149,USD,1233038.03396
CUST_B,,,,,,694400.397769,USD,2259880.28799
CUST_C,,,,,,-609593.318071,USD,1386856.90501
CUST_A,,,,,,64629.583423,USD,2693386.22368
CUST_F,,,,,,37106.670454,USD,1958472.4462
CUST_G,,,,,,-1484026.79853,USD,2560056.37889
CUST_D,,,,,,-1216858.66228,USD,2252340.11485
CUST_E,,,,,,2963676.63751,USD,5018232.42311
CUST_J,,,,,,361155.456267,USD,1972901.29176
CUST_K,,,,,,288067.333905,USD,1925034.00861
CUST_H,,,,,,1764156.61154,USD,3711146.42719
CUST_I,,,,,,1562768.7542,USD,2549996.16337
CUST_N,,,,,,-1894593.01942,USD,1432784.63275
CUST_O,,,,,,2234564.26264,USD,3225583.91603
CUST_L,,,,,,-2749685.12469,USD,1888985.8631
CUST_M,,,,,,1134.858558,USD,1838612.74564
