#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2260920.64912,USD,4147186.70928
CUST_S,,,,,,-493293.717379,USD,3877575.79281
CUST_P,,,,,,421748.212357,USD,2153473.44911
CUST_Q,,,,,,-1660577.93724,USD,924794.299093
CUST_V,,,,,,2588126.75574,USD,5296764.07131
CUST_W,,,,,,326084.649192,USD,1730129.51678
CUST_T,,,,,,-1720713.20796,USD,2258635.72282
CUST_U,,,,,,-1523230.4041,USD,1029575.07698
CUST_Z,,,,,,4483434.52405,USD,5054667.69424
CUST_X,,,,,,2540773.70587,USD,3271085.49796
CUST_Y,,,,,,112788.708007,USD,1466394.50557
CUST_B,,,,,,888583.828773,USD,2225560.53875
CUST_C,,,,,,-384464.889825,USD,1572814.83499
CUST_A,,,,,,-68735.680336,USD,2680438.28231
CUST_F,,,,,,129197.133528,USD,2219273.18722
CUST_G,,,,,,-1110037.54459,USD,2772634.30324
CUST_D,,,,,,-949533.333731,USD,2251042.87877
CUST_E,,,,,,3264421.8984,USD,5353249.0213
CUST_J,,,,,,-14620.489291,USD,1998964.26037
CUST_K,,,,,,327005.139351,USD,1668020.49483
CUST_H,,,,,,1763451.95682,USD,3957672.77911
CUST_I,,,,,,2009455.40296,USD,2862988.25987
CUST_N,,,,,,-1612946.0798,USD,1379183.08495
CUST_O,,,,,,2339515.56555,USD,3369678.2304
CUST_L,,,,,,-3228159.87393,USD,1497227.1064
CUST_M,,,,,,364557.167217,USD,1938551.87377
