#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2307988.50907,USD,4169323.43344
CUST_S,,,,,,-483044.269035,USD,3834526.99257
CUST_P,,,,,,404033.262539,USD,2149780.20239
CUST_Q,,,,,,-1632753.95861,USD,937437.298316
CUST_V,,,,,,2526990.37318,USD,5249798.27776
CUST_W,,,,,,363397.304205,USD,1746969.2183
CUST_T,,,,,,-1722219.28944,USD,2252111.69086
CUST_U,,,,,,-1552477.81784,USD,1035459.71569
CUST_Z,,,,,,4476483.19738,USD,5036467.03539
CUST_X,,,,,,2518779.8388,USD,3254470.04476
CUST_Y,,,,,,98274.140572,USD,1462022.74526
CUST_B,,,,,,886209.977935,USD,2212593.84718
CUST_C,,,,,,-400447.58719,USD,1570290.80409
CUST_A,,,,,,-54729.829343,USD,2706299.54829
CUST_F,,,,,,120847.354371,USD,2212954.61376
CUST_G,,,,,,-1116527.87267,USD,2732849.88797
CUST_D,,,,,,-968052.611181,USD,2236315.50208
CUST_E,,,,,,3283861.77726,USD,5382455.34623
CUST_J,,,,,,-9692.100728,USD,2000160.09974
CUST_K,,,,,,316412.621049,USD,1664806.07933
CUST_H,,,,,,1799056.35664,USD,3969034.85845
CUST_I,,,,,,2015929.12747,USD,2871765.6787
CUST_N,,,,,,-1614360.18998,USD,1370165.79147
CUST_O,,,,,,2374152.60645,USD,3381585.69394
CUST_L,,,,,,-3187611.59123,USD,1528254.91864
CUST_M,,,,,,368199.0476,USD,1949391.3508
