#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2190791.79941,USD,4231315.30137
CUST_S,,,,,,-569482.397352,USD,4063794.78916
CUST_P,,,,,,583042.136266,USD,2277019.66787
CUST_Q,,,,,,-1812603.39866,USD,886975.978458
CUST_V,,,,,,2784572.77588,USD,5557218.99293
CUST_W,,,,,,277209.06744,USD,1730441.11757
CUST_T,,,,,,-1821201.56214,USD,2335613.75748
CUST_U,,,,,,-1461674.01418,USD,1028982.61806
CUST_Z,,,,,,4512287.1715,USD,5096868.37859
CUST_X,,,,,,2659129.19716,USD,3326676.60473
CUST_Y,,,,,,183824.160548,USD,1573238.18156
CUST_B,,,,,,966208.234051,USD,2199984.56842
CUST_C,,,,,,-285862.15397,USD,1664788.62573
CUST_A,,,,,,-183747.567248,USD,2692707.20257
CUST_F,,,,,,175161.461689,USD,2349178.89587
CUST_G,,,,,,-948647.504597,USD,3007889.81757
CUST_D,,,,,,-881095.287045,USD,2245535.72627
CUST_E,,,,,,3356601.47782,USD,5493721.57645
CUST_J,,,,,,-128177.415173,USD,2064275.43338
CUST_K,,,,,,397768.952007,USD,1653853.30069
CUST_H,,,,,,1727839.2171,USD,4036593.33258
CUST_I,,,,,,2162118.978,USD,2982382.33791
CUST_N,,,,,,-1526201.38363,USD,1350186.39772
CUST_O,,,,,,2381402.36531,USD,3417207.44966
CUST_L,,,,,,-3346585.33878,USD,1383826.0126
CUST_M,,,,,,455121.844575,USD,1976796.13262
