#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2207242.58198,USD,4312936.33898
CUST_S,,,,,,-584360.648752,USD,4122297.082
CUST_P,,,,,,646746.290075,USD,2341254.26912
CUST_Q,,,,,,-1895151.40136,USD,889153.787283
CUST_V,,,,,,2840888.70509,USD,5640939.08326
CUST_W,,,,,,285320.783869,USD,1756941.41233
CUST_T,,,,,,-1841102.80715,USD,2385587.21554
CUST_U,,,,,,-1468932.32426,USD,1038163.28858
CUST_Z,,,,,,4554179.23953,USD,5151615.26163
CUST_X,,,,,,2700281.94145,USD,3385322.78534
CUST_Y,,,,,,216795.404884,USD,1623549.78802
CUST_B,,,,,,989614.190199,USD,2228866.5878
CUST_C,,,,,,-296128.577965,USD,1694678.96525
CUST_A,,,,,,-160356.293806,USD,2737075.77701
CUST_F,,,,,,161576.252084,USD,2401791.56482
CUST_G,,,,,,-931956.943562,USD,3067205.37694
CUST_D,,,,,,-896371.70362,USD,2258726.47543
CUST_E,,,,,,3453195.05809,USD,5641806.94384
CUST_J,,,,,,-185050.698548,USD,2074054.13298
CUST_K,,,,,,387243.201802,USD,1657728.67167
CUST_H,,,,,,1798068.6756,USD,4134226.52471
CUST_I,,,,,,2221715.6275,USD,3056064.09217
CUST_N,,,,,,-1509050.4904,USD,1364118.74575
CUST_O,,,,,,2454350.4945,USD,3505025.46735
CUST_L,,,,,,-3421071.78421,USD,1381597.59108
CUST_M,,,,,,498231.936325,USD,2020901.16489
