#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2207504.30569,USD,4261609.05177
CUST_S,,,,,,-565104.6604,USD,4057129.64325
CUST_P,,,,,,604993.539576,USD,2299468.3447
CUST_Q,,,,,,-1836887.43942,USD,895538.005766
CUST_V,,,,,,2779167.72245,USD,5555080.08403
CUST_W,,,,,,286467.938845,USD,1749018.31327
CUST_T,,,,,,-1807200.30645,USD,2352696.98316
CUST_U,,,,,,-1478595.97479,USD,1033346.64797
CUST_Z,,,,,,4523292.8588,USD,5112212.21898
CUST_X,,,,,,2653968.9736,USD,3333773.14885
CUST_Y,,,,,,194801.26909,USD,1587007.11395
CUST_B,,,,,,955983.030739,USD,2215027.84639
CUST_C,,,,,,-308232.195615,USD,1668748.40448
CUST_A,,,,,,-144684.75031,USD,2717324.77296
CUST_F,,,,,,155951.027972,USD,2358083.1797
CUST_G,,,,,,-956298.917058,USD,2999011.98791
CUST_D,,,,,,-913125.684862,USD,2244799.62614
CUST_E,,,,,,3409419.46355,USD,5575889.81278
CUST_J,,,,,,-150413.250272,USD,2057385.79973
CUST_K,,,,,,387167.587063,USD,1662742.58838
CUST_H,,,,,,1789508.38404,USD,4087989.17101
CUST_I,,,,,,2172937.1612,USD,3010891.76016
CUST_N,,,,,,-1527081.23409,USD,1360459.12459
CUST_O,,,,,,2426826.22898,USD,3468750.86047
CUST_L,,,,,,-3379881.68743,USD,1396081.1279
CUST_M,,,,,,473009.537684,USD,2001869.68248
