#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,171639.61,53090.82,-276015.2,-81430.26,0.0,0.0,171639.61,53090.82,None,53090.82,1798649.6
,CUST_S,119955.831,105807.08,-183799.588,-167365.46,0.0,0.0,119955.831,105807.08,None,105807.08,1263878.23
,CUST_P,108536.275,97343.31,-168974.412,-152322.97,0.0,0.0,108536.275,97343.31,None,97343.31,1139424.64
,CUST_Q,44909.5494,103882.35,-68933.278,-165561.29,0.0,0.0,44909.5494,103882.35,None,103882.35,471976.46
,CUST_V,192909.43,76906.59,-310670.64,-120024.882,0.0,0.0,192909.43,76906.59,None,76906.59,1978095.0
,CUST_W,91380.89,70749.197,-141816.1,-106908.25,0.0,0.0,91380.89,70749.197,None,70749.197,990394.4
,CUST_T,125587.4,186399.25,-191948.38,-296378.54,0.0,0.0,125587.4,186399.25,None,186399.25,1330995.7
,CUST_U,42894.74,147169.139,-69410.42,-238134.177,0.0,0.0,42894.74,147169.139,None,147169.139,436884.4
,CUST_Z,277690.9,17847.04,-445159.1,-25094.33,0.0,0.0,277690.9,17847.04,None,17847.04,2851125.0
,CUST_X,168230.06,63924.77,-269146.85,-96646.6,0.0,0.0,168230.06,63924.77,None,63924.77,1733175.3
,CUST_Y,33318.295,59528.87,-55663.178,-91601.23,0.0,0.0,33318.295,59528.87,None,59528.87,384162.07
,CUST_B,90988.09,71582.149,-143131.11,-106720.228,0.0,0.0,90988.09,71582.149,None,71582.149,948031.6
,CUST_C,64811.028,99861.53,-99882.288,-155216.6,0.0,0.0,64811.028,99861.53,None,99861.53,680510.97
,CUST_A,106949.16,113927.948,-174845.78,-182184.38,0.0,0.0,106949.16,113927.948,None,113927.948,1089345.7
,CUST_F,102669.84,102711.07,-158771.86,-159554.1,0.0,0.0,102669.84,102711.07,None,102711.07,1081953.7
,CUST_G,69411.24,164814.77132,-112361.33,-260511.78644,0.0,0.0,69411.24,164814.77132,None,164814.77132,728606.4
,CUST_D,131703.57,124807.9895,-202830.923,-209792.1909,0.0,0.0,131703.57,124807.9895,None,124807.9895,1396249.73
,CUST_E,234845.5,75746.25,-372787.9,-115123.24,0.0,0.0,234845.5,75746.25,None,75746.25,2430832.0
,CUST_J,109785.93,79595.7291,-172532.72,-127568.3194,0.0,0.0,109785.93,79595.7291,None,79595.7291,1142388.0
,CUST_K,80360.84,75826.51,-130268.88,-120946.49,0.0,0.0,80360.84,75826.51,None,75826.51,823409.4
,CUST_H,162717.545,55571.264,-263864.92,-89921.35,0.0,0.0,162717.545,55571.264,None,55571.264,1662975.72
,CUST_I,141342.701,33689.42,-226177.462,-55377.97,0.0,0.0,141342.701,33689.42,None,33689.42,1538762.11
,CUST_N,35379.776,124969.84,-55053.532,-202861.77,0.0,0.0,35379.776,124969.84,None,124969.84,370743.0
,CUST_O,148678.14,36379.1,-242782.21,-56400.87,0.0,0.0,148678.14,36379.1,None,36379.1,1521217.8
,CUST_L,86640.4529,273915.37,-135618.7512,-433187.88,0.0,0.0,86640.4529,273915.37,None,273915.37,903783.663
,CUST_M,66972.318,48814.27,-108718.787,-78577.95,0.0,0.0,66972.318,48814.27,None,48814.27,684021.74
