#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2486326.04299,USD,4213301.64744
CUST_S,,,,,,-363191.843291,USD,3776456.86517
CUST_P,,,,,,94986.935718,USD,1969510.51135
CUST_Q,,,,,,-1401609.44016,USD,1008927.96202
CUST_V,,,,,,2297026.51521,USD,4939580.71419
CUST_W,,,,,,447611.366162,USD,1896499.81097
CUST_T,,,,,,-1654383.72019,USD,2176624.31316
CUST_U,,,,,,-1685813.10664,USD,1061846.21636
CUST_Z,,,,,,4509589.51515,USD,5049270.27616
CUST_X,,,,,,2390940.96586,USD,3258603.75299
CUST_Y,,,,,,1328.380663,USD,1322174.8229
CUST_B,,,,,,825671.230505,USD,2260342.40975
CUST_C,,,,,,-566267.156562,USD,1460115.09023
CUST_A,,,,,,102062.779786,USD,2749549.89192
CUST_F,,,,,,55450.098559,USD,2062534.42994
CUST_G,,,,,,-1412104.38676,USD,2632300.08685
CUST_D,,,,,,-1030137.77231,USD,2343147.38036
CUST_E,,,,,,3168878.3537,USD,5264052.24402
CUST_J,,,,,,158211.332738,USD,1946578.91979
CUST_K,,,,,,177884.526263,USD,1737257.09932
CUST_H,,,,,,1836041.49035,USD,3891889.03033
CUST_I,,,,,,1829846.40448,USD,2740290.47842
CUST_N,,,,,,-1765211.42782,USD,1459498.51286
CUST_O,,,,,,2354869.1167,USD,3341517.08262
CUST_L,,,,,,-2963642.28538,USD,1757679.19158
CUST_M,,,,,,247993.096081,USD,1927179.85198
