#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,178052.9,56280.4,-276193.08,-87753.84,0.0,0.0,178052.9,56280.4,None,56280.4,1896244.4
,CUST_S,109937.748,93479.08,-167610.437,-142619.83,0.0,0.0,109937.748,93479.08,None,93479.08,1201809.92
,CUST_P,95116.234,114367.59,-145391.378,-176912.53,0.0,0.0,95116.234,114367.59,None,114367.59,1035052.0
,CUST_Q,59565.261,74548.527,-92352.66,-113527.62,0.0,0.0,59565.261,74548.527,None,74548.527,643704.86
,CUST_V,164157.26,77189.79,-254191.28,-119132.176,0.0,0.0,164157.26,77189.79,None,77189.79,1736561.1
,CUST_W,89154.61,76695.585,-137123.0,-116895.705,0.0,0.0,89154.61,76695.585,None,76695.585,998308.5
,CUST_T,118115.678,162658.0,-180069.55,-249555.42,0.0,0.0,118115.678,162658.0,None,162658.0,1298968.6
,CUST_U,45608.45,151157.124,-70483.33,-235299.859,0.0,0.0,45608.45,151157.124,None,151157.124,477754.8
,CUST_Z,270608.8,18819.07,-419480.7,-28602.9,0.0,0.0,270608.8,18819.07,None,18819.07,2868925.0
,CUST_X,160119.53,65310.71,-245867.3,-101376.61,0.0,0.0,160119.53,65310.71,None,65310.71,1713822.1
,CUST_Y,26581.596,60691.99,-41626.57,-92112.67,0.0,0.0,26581.596,60691.99,None,60691.99,304456.2
,CUST_B,87481.44,86858.086,-134038.0,-132426.11,0.0,0.0,87481.44,86858.086,None,86858.086,946565.1
,CUST_C,58362.536,97217.81,-89562.703,-150312.6,0.0,0.0,58362.536,97217.81,None,97217.81,643384.93
,CUST_A,107489.59,106725.88,-169348.17,-166119.27,0.0,0.0,107489.59,106725.88,None,106725.88,1121908.6
,CUST_F,90207.27,94822.5,-138207.35,-145973.0,0.0,0.0,90207.27,94822.5,None,94822.5,988741.0
,CUST_G,62670.5,179835.23365,-99777.24,-277935.83794,0.0,0.0,62670.5,179835.23365,None,179835.23365,673624.8
,CUST_D,130299.689,144229.320843,-197918.512,-229024.541626,0.0,0.0,130299.689,144229.320843,None,144229.320843,1426997.87
,CUST_E,204590.3,73987.68,-314304.2,-114579.46,0.0,0.0,204590.3,73987.68,None,73987.68,2196902.0
,CUST_J,121420.12,62565.8181,-187050.63,-96872.006,0.0,0.0,121420.12,62565.8181,None,62565.8181,1305927.1
,CUST_K,91141.05,85078.37,-143803.43,-131233.83,0.0,0.0,91141.05,85078.37,None,85078.37,950398.9
,CUST_H,154750.293,54174.797,-240953.413,-84003.958,0.0,0.0,154750.293,54174.797,None,54174.797,1624825.03
,CUST_I,113819.221,44780.504,-175108.667,-71424.7,0.0,0.0,113819.221,44780.504,None,44780.504,1295126.84
,CUST_N,32981.29,141595.62,-50567.332,-221638.05,0.0,0.0,32981.29,141595.62,None,141595.62,355477.24
,CUST_O,134372.79,38539.73,-208518.98,-57971.16,0.0,0.0,134372.79,38539.73,None,38539.73,1414688.7
,CUST_L,103238.27236,251521.281,-158936.98311,-387264.06,0.0,0.0,103238.27236,251521.281,None,251521.281,1109802.072
,CUST_M,55967.044,58610.89,-87858.574,-91441.7,0.0,0.0,55967.044,58610.89,None,58610.89,585149.74
