#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2539989.98147,USD,4066629.6124
CUST_S,,,,,,-272068.454665,USD,3599831.59969
CUST_P,,,,,,-412424.92055,USD,1772732.66638
CUST_Q,,,,,,-745315.874419,USD,1253348.12361
CUST_V,,,,,,1800689.62304,USD,4224231.03207
CUST_W,,,,,,413740.940737,USD,2113008.38302
CUST_T,,,,,,-1356210.95703,USD,2042589.95072
CUST_U,,,,,,-1746349.98734,USD,1156385.65155
CUST_Z,,,,,,4311113.68273,USD,4820991.28452
CUST_X,,,,,,2170496.57476,USD,3297144.81812
CUST_Y,,,,,,-177031.114587,USD,1083480.41549
CUST_B,,,,,,462417.042312,USD,2224382.03329
CUST_C,,,,,,-773715.717363,USD,1346972.10492
CUST_A,,,,,,233284.807448,USD,2621332.43434
CUST_F,,,,,,44640.50101,USD,1919346.68394
CUST_G,,,,,,-1797597.98803,USD,2593923.52302
CUST_D,,,,,,-1301751.25632,USD,2413791.03126
CUST_E,,,,,,2716587.75783,USD,4845926.775
CUST_J,,,,,,613397.430315,USD,2133302.13988
CUST_K,,,,,,264773.522231,USD,2126974.81453
CUST_H,,,,,,1698737.63847,USD,3510418.94109
CUST_I,,,,,,1301442.16292,USD,2434078.89668
CUST_N,,,,,,-2095941.67481,USD,1516297.62124
CUST_O,,,,,,2112415.90378,USD,3214132.93813
CUST_L,,,,,,-2453504.32142,USD,2155437.29637
CUST_M,,,,,,-92269.583403,USD,1804519.39522
