#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2454267.53087,USD,4213671.05705
CUST_S,,,,,,-392942.15821,USD,3817286.76816
CUST_P,,,,,,167392.322242,USD,2017131.99042
CUST_Q,,,,,,-1485473.32607,USD,982912.269213
CUST_V,,,,,,2393048.24977,USD,5036965.63885
CUST_W,,,,,,426079.03886,USD,1857624.19065
CUST_T,,,,,,-1665965.61747,USD,2196811.39182
CUST_U,,,,,,-1651355.4337,USD,1039684.24671
CUST_Z,,,,,,4466539.90278,USD,5014306.35447
CUST_X,,,,,,2437873.56541,USD,3273906.93897
CUST_Y,,,,,,43192.30103,USD,1356422.6599
CUST_B,,,,,,839996.91049,USD,2251345.10509
CUST_C,,,,,,-522902.924255,USD,1476547.6248
CUST_A,,,,,,94580.665839,USD,2739630.35348
CUST_F,,,,,,70719.439981,USD,2104698.65399
CUST_G,,,,,,-1362092.68232,USD,2653317.48115
CUST_D,,,,,,-998711.697435,USD,2337509.25387
CUST_E,,,,,,3196966.23278,USD,5283462.1622
CUST_J,,,,,,112346.427378,USD,1949242.7612
CUST_K,,,,,,190562.769171,USD,1701159.25164
CUST_H,,,,,,1818596.28587,USD,3913386.66743
CUST_I,,,,,,1873066.88374,USD,2774199.30816
CUST_N,,,,,,-1715268.8459,USD,1447544.06351
CUST_O,,,,,,2347535.8514,USD,3345688.06943
CUST_L,,,,,,-3042382.19917,USD,1687388.90572
CUST_M,,,,,,273618.339354,USD,1919785.51488
