#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2501206.88101,USD,3950148.00817
CUST_S,,,,,,-136000.17674,USD,3272899.40021
CUST_P,,,,,,-468625.502314,USD,1713968.21537
CUST_Q,,,,,,-552333.383825,USD,1320337.49207
CUST_V,,,,,,1658111.99059,USD,3952515.48949
CUST_W,,,,,,472244.698081,USD,2144974.27351
CUST_T,,,,,,-1271947.31745,USD,1940631.61804
CUST_U,,,,,,-1817387.12658,USD,1176283.00129
CUST_Z,,,,,,4247556.94818,USD,4745263.4205
CUST_X,,,,,,1938227.80364,USD,3141575.38639
CUST_Y,,,,,,-272505.449233,USD,1000562.76123
CUST_B,,,,,,431081.316736,USD,2190629.43848
CUST_C,,,,,,-844149.526999,USD,1258706.18355
CUST_A,,,,,,199364.531829,USD,2559187.99388
CUST_F,,,,,,-64572.176858,USD,1707621.72967
CUST_G,,,,,,-1773832.68202,USD,2362805.50667
CUST_D,,,,,,-1364680.72668,USD,2261905.59068
CUST_E,,,,,,2556096.62082,USD,4622310.27738
CUST_J,,,,,,669175.876632,USD,2172035.48376
CUST_K,,,,,,256155.279968,USD,2158399.34424
CUST_H,,,,,,1721808.18531,USD,3363436.02129
CUST_I,,,,,,1149917.56893,USD,2355368.52082
CUST_N,,,,,,-2161345.19893,USD,1475895.28422
CUST_O,,,,,,2089351.80649,USD,3173197.91054
CUST_L,,,,,,-2340184.30784,USD,2178139.84625
CUST_M,,,,,,-185812.71714,USD,1721786.58024
