#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-93341.69936,USD,821439.647828
CSA_41,,,,,,2216388.29799,USD,2230374.85392
CSA_42,,,,,,43731.006178,USD,100964.609739
CSA_43,,,,,,-137289.745405,USD,70947.896155
CSA_44,,,,,,271012.557362,USD,291400.434804
CSA_45,,,,,,-495744.243187,USD,199685.260382
CSA_46,,,,,,535925.160247,USD,678861.790727
CSA_47,,,,,,717240.641033,USD,1056395.82449
CSA_48,,,,,,-1050363.34596,USD,21848.224005
CSA_49,,,,,,159666.876816,USD,307996.770075
CSA_59,,,,,,-464130.013528,USD,599.778574
CSA_58,,,,,,-285821.85467,USD,335020.843706
CSA_57,,,,,,-2758372.68238,USD,96982.289139
CSA_56,,,,,,1079080.98317,USD,1079080.98317
CSA_55,,,,,,837629.790849,USD,837629.790849
CSA_54,,,,,,335356.830179,USD,660727.705456
CSA_53,,,,,,142821.234837,USD,196964.971281
CSA_52,,,,,,81394.812671,USD,111228.478644
CSA_51,,,,,,-1095703.96752,USD,76127.723876
CSA_50,,,,,,-196126.39027,USD,0.0
CSA_28,,,,,,286338.762828,USD,648927.803837
CSA_29,,,,,,-545370.177277,USD,243972.865293
CSA_22,,,,,,1295475.28448,USD,1492683.72869
CSA_23,,,,,,1959374.80949,USD,1960089.78679
CSA_20,,,,,,-635272.807797,USD,0.0
CSA_21,,,,,,-112171.109616,USD,55295.918888
CSA_26,,,,,,1082461.0387,USD,1172450.52938
CSA_27,,,,,,-376955.561682,USD,80376.756267
CSA_24,,,,,,-597595.197099,USD,542867.854158
CSA_25,,,,,,840923.578477,USD,1522867.6661
CSA_39,,,,,,-652750.845189,USD,138.981164
CSA_38,,,,,,2356037.41208,USD,2542748.31651
CSA_31,,,,,,174235.592047,USD,222295.015481
CSA_30,,,,,,-375490.088342,USD,11917.079589
CSA_33,,,,,,-1346122.07224,USD,581531.066229
CSA_32,,,,,,-889049.870485,USD,898092.088402
CSA_35,,,,,,596959.954125,USD,833911.893841
CSA_34,,,,,,76519.493817,USD,213184.225267
