#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2617248.04514,USD,4431075.21964
CUST_S,,,,,,-465990.601533,USD,3834997.21039
CUST_P,,,,,,224830.978876,USD,2177882.87351
CUST_Q,,,,,,-1425483.74227,USD,1062894.00855
CUST_V,,,,,,2433907.9519,USD,5259937.00111
CUST_W,,,,,,468067.447188,USD,2003449.31872
CUST_T,,,,,,-1733170.63566,USD,2364466.251
CUST_U,,,,,,-1682615.02142,USD,1214291.49187
CUST_Z,,,,,,4588256.56507,USD,5216875.4515
CUST_X,,,,,,2633862.7499,USD,3520863.38947
CUST_Y,,,,,,-31487.880137,USD,1446296.36827
CUST_B,,,,,,940259.025119,USD,2444837.7634
CUST_C,,,,,,-616005.322733,USD,1485646.80716
CUST_A,,,,,,18933.380549,USD,2889072.464
CUST_F,,,,,,70983.974223,USD,2157645.03436
CUST_G,,,,,,-1387456.90274,USD,2749014.28922
CUST_D,,,,,,-1213067.21638,USD,2309119.89649
CUST_E,,,,,,3386007.36574,USD,5573804.95463
CUST_J,,,,,,166342.941865,USD,2065102.6093
CUST_K,,,,,,301498.701016,USD,1882678.67011
CUST_H,,,,,,1994923.51607,USD,4126767.46267
CUST_I,,,,,,1898097.87293,USD,2893373.055
CUST_N,,,,,,-1807462.6424,USD,1472260.95899
CUST_O,,,,,,2538547.9186,USD,3545768.14599
CUST_L,,,,,,-3061685.43158,USD,1831699.62501
CUST_M,,,,,,158787.025759,USD,2031655.03025
